"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000251322.12",1389.40920774416,-0.889546779293735,0.0877113582715971,-10.1417512717026,3.60576534060083e-24,9.88592683432531e-20,"SHANK3"
"ENSG00000154342.7",244.249774163069,-3.7488567164197,0.448971220619264,-8.34988200635426,6.83311947638291e-17,9.36718183419951e-13,"WNT3A"
"ENSG00000126803.10",918.713499929862,5.15998466652173,0.660167866221273,7.81617059924002,5.4454561588534e-15,4.12533110259745e-11,"HSPA2"
"ENSG00000164946.21",496.705809218259,-1.408248424631,0.180462387326708,-7.80355643905739,6.01864697464704e-15,4.12533110259745e-11,"FREM1"
"ENSG00000271474.2",144.759099544914,-1.71645985421369,0.221193685018137,-7.75998579739265,8.49388969662393e-15,4.65753947624677e-11,"UNC5C-AS1"
"ENSG00000146374.15",1035.5828249496,-3.6567349971233,0.474470805028845,-7.70697576830041,1.28834251015282e-14,5.40010232008529e-11,"RSPO3"
"ENSG00000177468.7",48.6517916870916,-4.74993478120827,0.6170097509561,-7.69831396318763,1.37873276582402e-14,5.40010232008529e-11,"OLIG3"
"ENSG00000182168.16",1628.54756306686,-2.13667227968072,0.281865174678819,-7.58047631146851,3.44288625662747e-14,1.17992015622444e-10,"UNC5C"
"ENSG00000253537.3",89.7392744755441,3.55008184906064,0.481707877583743,7.36978159225447,1.70907801343217e-13,5.20642132158553e-10,"PCDHGA7"
"ENSG00000135525.20",563.803511403277,-1.20745149834375,0.165225575259618,-7.30789707614269,2.71355506583071e-13,7.43975392398806e-10,"MAP7"
"ENSG00000223765.4",48.8450693265158,-4.5044979167846,0.617757979762015,-7.29168714019674,3.06097325681634e-13,7.6293367074667e-10,"LINC01626"
"ENSG00000251226.3",65.7401574878464,-3.89500390129104,0.536373872053471,-7.26173310116558,3.8216171317103e-13,8.73143974167511e-10,"LINC02714"
"ENSG00000290696.2",31.4038336916641,-1.28593732915406,0.180802061319225,-7.11240413837761,1.14038743080821e-12,2.4050770915745e-09,"POM121L9P"
"ENSG00000254245.3",211.978520566769,5.30607392158334,0.766786273569417,6.91988642008859,4.52005899015611e-12,8.85188980950787e-09,"PCDHGA3"
"ENSG00000269067.2",8.28743050082038,3.87077236568818,0.564059811965386,6.86234382166143,6.77397813856652e-12,1.23814772416719e-08,"ZNF728"
"ENSG00000288060.2",30.2066447577626,-2.05762664791089,0.308146570477745,-6.6774283572937,2.43171416319743e-11,4.16689420077399e-08,""
"ENSG00000064309.17",1085.53649138876,-1.65219833912816,0.247937243840411,-6.66377633927245,2.66879518254748e-11,4.30413867764142e-08,"CDON"
"ENSG00000137727.13",125.865555129736,2.31727816251681,0.348457546849483,6.65010180857918,2.92890352299108e-11,4.46120821610258e-08,"ARHGAP20"
"ENSG00000154864.14",1587.22493116155,-1.54874444432604,0.233374338433183,-6.6363099504595,3.21633162289286e-11,4.6411665318344e-08,"PIEZO2"
"ENSG00000143869.7",809.833301734125,-3.16470082653928,0.47967828129682,-6.59754871115584,4.18011372383219e-11,5.20937172574123e-08,"GDF7"
"ENSG00000174279.5",27.3354658617474,-4.29844254298879,0.651387689234781,-6.59890049202249,4.14218203627637e-11,5.20937172574123e-08,"EVX2"
"ENSG00000203697.13",29.6356757411366,-2.91799521173433,0.441360931840255,-6.61135819060321,3.80809809384799e-11,5.20937172574123e-08,"CAPN8"
"ENSG00000120156.23",95.5981042471193,-2.83064364781217,0.430200636827924,-6.57982207716814,4.710115590664e-11,5.485651745363e-08,"TEK"
"ENSG00000179348.14",128.726652727988,-2.09658892655286,0.31877831221489,-6.57694970522191,4.80197110875413e-11,5.485651745363e-08,"GATA2"
"ENSG00000233237.10",1444.29770592782,-2.02443694664337,0.308886702733591,-6.55397894673832,5.60238688766771e-11,6.14402565196742e-08,"LINC00472"
"ENSG00000138185.21",234.24688896916,1.09520811113697,0.168492728779552,6.50003189496614,8.03029843587065e-11,8.25580661304531e-08,"ENTPD1"
"ENSG00000171540.8",54.7710114079391,4.40232186011721,0.677470922449045,6.49817093876576,8.13023957953909e-11,8.25580661304531e-08,"OTP"
"ENSG00000102924.13",2312.12497195298,-3.07679324763161,0.475581790746709,-6.46953543532596,9.83046763098928e-11,9.62578325138689e-08,"CBLN1"
"ENSG00000162545.7",1352.04282429845,1.65751042677182,0.258294781226696,6.41712704724407,1.38870028452647e-10,1.26913319002874e-07,"CAMK2N1"
