"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000197757.8",134.358279977377,-4.35250798469847,0.571029408373657,-7.62221335866888,2.49362413266746e-14,6.96693646425963e-10,"HOXC6"
"ENSG00000037965.6",68.3116416950792,-4.21950826148339,0.589533368381151,-7.15736968896281,8.22397013061173e-13,1.14884750739581e-08,"HOXC8"
"ENSG00000260597.1",32.3279628305981,-4.62428805508556,0.652488412859908,-7.08715735627694,1.36894701015075e-12,1.27490035055339e-08,""
"ENSG00000211899.10",0.889992416303374,20.4438588636681,3.09710370059545,6.60096039397633,4.08502687741554e-11,2.85328914820282e-07,"IGHM"
"ENSG00000120833.15",826.50490879736,1.91278369689,0.294091560923158,6.50404143147032,7.81903463707142e-11,4.36912017450277e-07,"SOCS2"
"ENSG00000155792.11",72.9133050351232,-2.69584631452571,0.416493626819891,-6.47271924689379,9.6254703968045e-11,4.48210029027202e-07,"DEPTOR"
"ENSG00000163132.8",183.270337414714,-2.94063896042999,0.468371659127636,-6.27843060766542,3.42007608807247e-10,1.36505008320938e-06,"MSX1"
"ENSG00000149948.15",7689.96023180766,-1.54218248631507,0.247814460702731,-6.2231335570244,4.87322195936888e-10,1.70191185403509e-06,"HMGA2"
"ENSG00000293176.2",30.5885277931454,-2.12817600089238,0.344677116570386,-6.17440467782777,6.64132351261382e-10,1.97480945850627e-06,"RPSAP52"
"ENSG00000302509.1",53.19375389145,1.51786780017042,0.246225153333967,6.16455215731618,7.06828969721991e-10,1.97480945850627e-06,""
"ENSG00000251322.12",1468.80983509293,-0.904380338399091,0.1494267776708,-6.05233113164975,1.42764625176346e-09,3.6260916934563e-06,"SHANK3"
"ENSG00000230074.6",92.5376034146506,-1.49121197705637,0.248128482085157,-6.00983798605028,1.85708818350823e-09,4.27933845068165e-06,""
"ENSG00000254343.2",12.1535842655646,-2.84412012502062,0.47413654677458,-5.99852541291826,1.9911736232099e-09,4.27933845068165e-06,""
"ENSG00000170421.14",227.042561222362,-2.69343404482849,0.462665574029036,-5.82155707279716,5.83018893371196e-09,1.12472965420546e-05,"KRT8"
"ENSG00000233101.11",111.800899526721,-3.25623844715679,0.559905952434916,-5.81568821155781,6.03849272095703e-09,1.12472965420546e-05,"HOXB-AS3"
"ENSG00000143869.7",437.217978174515,-2.99171058364765,0.522951867477044,-5.72081441850665,1.06014644701179e-08,1.85121447394141e-05,"GDF7"
"ENSG00000183691.6",50.529562796874,-2.86681035561109,0.504177058528911,-5.68611821405732,1.29959452187252e-08,2.13584537332919e-05,"NOG"
"ENSG00000146700.10",61.5111972816898,-3.0974746520491,0.548447352668173,-5.64771556828567,1.62593891808093e-08,2.52372819068129e-05,"SSC4D"
"ENSG00000165617.16",325.333555713522,-2.12654963128913,0.381113638706227,-5.5798308307941,2.40752620789264e-08,3.54020393275328e-05,"DACT1"
"ENSG00000223511.8",44.6169758595896,-2.50757136051831,0.453918027338299,-5.52428238028417,3.30835010202598e-08,4.40152350002399e-05,"LINC02968"
"ENSG00000294153.1",45.6679097874513,6.56882745163644,1.18906046576357,5.52438470605294,3.30642271519384e-08,4.40152350002399e-05,""
"ENSG00000144642.23",482.603075872165,-1.34752010538883,0.244641271922862,-5.50814707100491,3.62630392059411e-08,4.42572784710858e-05,"RBMS3"
"ENSG00000280707.4",70.2239813699989,2.76448570272128,0.501965606764715,5.50732095080983,3.64335661560891e-08,4.42572784710858e-05,""
"ENSG00000086205.19",77.2951755789629,5.58357690249266,1.01769264777925,5.48650608283041,4.09961312765297e-08,4.77246213222901e-05,"FOLH1"
"ENSG00000172789.4",6.79394225083319,-4.59024981408499,0.843768518260195,-5.44017667730699,5.32277578899512e-08,5.94852131074938e-05,"HOXC5"
"ENSG00000277945.1",33.0706977728032,-2.31214768103435,0.427141851116953,-5.41306752075034,6.195411488339e-08,6.65744621433474e-05,""
"ENSG00000134533.7",34.0046452559501,-2.83367587173759,0.52880416951383,-5.35864888195343,8.38466258245653e-08,8.36639599611618e-05,"RERG"
"ENSG00000187634.14",141.972544934792,-2.65453596967596,0.494917691293534,-5.3635907876681,8.15836164200197e-08,8.36639599611618e-05,"SAMD11"
"ENSG00000198879.13",353.22996231779,-1.33301298954104,0.250052431570644,-5.33093392121019,9.77089697327696e-08,9.41341691504776e-05,"SFMBT2"
"ENSG00000137507.12",67.0545680668431,-2.73461891336184,0.515631031668166,-5.30344130863269,1.13639751523973e-07,0.00010241874251059,"LRRC32"
"ENSG00000145506.15",1360.29255841968,-1.0634579442336,0.200298428440677,-5.3093673900121,1.10006388883668e-07,0.00010241874251059,"NKD2"
"ENSG00000256083.1",14.6043402073493,-2.39398563228518,0.455064209795667,-5.26076448279712,1.43457689809156e-07,0.000125252012361813,"HMGA2-AS2"
"ENSG00000198353.8",81.9191344901976,-3.58637643930476,0.684407440553529,-5.24011900923257,1.60473072710243e-07,0.000135862338740954,"HOXC4"
"ENSG00000169884.14",62.0923421139643,-2.63616384746978,0.506075298898743,-5.20903480807355,1.89825503167232e-07,0.000155986315676156,"WNT10B"
"ENSG00000078399.19",9.26550781927768,-5.54019311742946,1.0790133077669,-5.13449934078692,2.82896085539368e-07,0.000225823820968126,"HOXA9"
"ENSG00000164125.17",383.460673098569,-1.78299954639338,0.348583846699034,-5.11498040794993,3.13773522516607e-07,0.000231988026745456,"GASK1B"
"ENSG00000170166.6",76.1638830221066,-3.50159905148921,0.684885525250614,-5.11267784526166,3.17623715637521e-07,0.000231988026745456,"HOXD4"
"ENSG00000170689.10",1895.12622279346,-3.18566386173442,0.624008000112002,-5.10516509590042,3.3050583728331e-07,0.000231988026745456,"HOXB9"
"ENSG00000184923.12",56.0334193565591,0.889871905617313,0.174339911287418,5.10423516362964,3.32135046702396e-07,0.000231988026745456,"NUTM2A"
"ENSG00000302485.1",21.2321905520276,-2.67784261247497,0.523794474380139,-5.11239187019668,3.18105076670497e-07,0.000231988026745456,""
"ENSG00000257178.5",13.7618787362241,-2.99612808416773,0.587667561852543,-5.09833837811779,3.42647908850692e-07,0.000233493656716573,""
"ENSG00000207744.1",6.36935712759358,-3.21900042783276,0.635998100872795,-5.06133654080924,4.16327586149277e-07,0.000276947057843444,"MIR10B"
"ENSG00000182463.17",599.069389166037,-1.52566183844243,0.302234371477486,-5.0479428629648,4.46592655747081e-07,0.000282301009718453,"TSHZ2"
