Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR11780536_1	(1, 0.04171434044702999)	(2, 0.00023476054528718727)	(3, 0.0)	(4, 0.06346881764364268)	(5, 0.00016694083220422206)	(6, 0.00041213517950417324)	(7, 2.6084505031909694e-05)	(8, 0.00031562251088610734)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 7.82535150957291e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 5.738591107020134e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 3.1301406038291634e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11780536_2	(1, 0.00022954364428080532)	(2, 0.0009155661266200304)	(3, 0.0008451379630338743)	(4, 0.0)	(5, 0.0009938196417157595)	(6, 0.00010694647063082975)	(7, 0.00044082813503927386)	(8, 5.2169010063819395e-06)	(9, 0.0)	(10, 3.0258025837015247e-05)	(15, 0.00035683602883652466)	(20, 6.416788237849786e-05)	(25, 6.729802298232702e-05)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 1.3042252515954847e-05)	(60, 0.0)	(65, 2.4519434729995112e-05)	(70, 7.460168439126173e-05)	(75, 5.738591107020134e-06)	(80, 5.216901006381939e-07)	(85, 1.1998872314678459e-05)	(90, 2.6084505031909697e-06)	(95, 0.0)	(100, 3.182309613892983e-05)	(105, 1.0433802012763878e-06)	(110, 1.5650703019145817e-06)	(115, 1.3042252515954847e-05)	(120, 1.825915352233679e-05)	(125, 2.921464563573886e-05)	(130, 5.216901006381939e-07)	(135, 1.0433802012763878e-06)	(140, 4.9560559560628416e-05)	(145, 0.00011842365284487002)	(150, 0.0)
SRR11780537_1	(1, 0.041908526628708635)	(2, 0.00034512904282465935)	(3, 0.0)	(4, 0.06516775890764193)	(5, 0.0002095426331435432)	(6, 0.00041292224766521746)	(7, 1.8489055865606753e-05)	(8, 0.0003204769683371837)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 1.3558640968111617e-05)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 7.3956223462427e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 7.3956223462427e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11780537_2	(1, 0.00029582489384970804)	(2, 0.0011216693891801428)	(3, 0.001041550147095847)	(4, 0.0)	(5, 0.001337375040945555)	(6, 6.163018621868917e-05)	(7, 0.0005854867690775472)	(8, 0.0)	(9, 0.0)	(10, 4.6838941526203764e-05)	(15, 0.0004314113035308242)	(20, 7.888663835992214e-05)	(25, 8.628226070616484e-05)	(30, 0.0)	(35, 0.0)	(40, 1.2326037243737834e-06)	(45, 0.0)	(50, 0.0)	(55, 9.860829794990267e-06)	(60, 0.0)	(65, 2.7117281936223233e-05)	(70, 9.367788305240753e-05)	(75, 8.628226070616484e-06)	(80, 1.2326037243737834e-06)	(85, 1.47912446924854e-05)	(90, 4.9304148974951335e-06)	(95, 0.0)	(100, 4.0675922904334856e-05)	(105, 1.2326037243737834e-06)	(110, 1.2326037243737834e-06)	(115, 1.2326037243737833e-05)	(120, 2.4652074487475667e-05)	(125, 3.0815093109344584e-05)	(130, 1.2326037243737834e-06)	(135, 2.4652074487475668e-06)	(140, 5.793237504556782e-05)	(145, 0.00014421463575173266)	(150, 0.0)
SRR11780538_1	(1, 0.042130509537261863)	(2, 0.0002414942254637569)	(3, 0.0)	(4, 0.06334925639834857)	(5, 0.00018009738848144582)	(6, 0.00047070908353105163)	(7, 8.186244930974812e-06)	(8, 0.000343822287100942)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 1.0642118410267254e-05)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 3.274497972389924e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 3.274497972389924e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11780538_2	(1, 0.0002660529602566814)	(2, 0.0007981588807700441)	(3, 0.0009045800648727167)	(4, 0.0)	(5, 0.0010846774533541624)	(6, 9.004869424072291e-05)	(7, 0.000474802205996539)	(8, 0.0)	(9, 0.0)	(10, 3.5200853203191686e-05)	(15, 0.00033972916463545467)	(20, 6.958308191328589e-05)	(25, 7.203895539257833e-05)	(30, 0.0)	(35, 0.0)	(40, 8.18624493097481e-07)	(45, 0.0)	(50, 0.0)	(55, 1.1460742903364735e-05)	(60, 0.0)	(65, 2.374011029982695e-05)	(70, 7.040170640638337e-05)	(75, 5.730371451682367e-06)	(80, 8.18624493097481e-07)	(85, 1.3916616382657178e-05)	(90, 4.093122465487406e-06)	(95, 0.0)	(100, 2.9470481751509318e-05)	(105, 0.0)	(110, 0.0)	(115, 1.3916616382657178e-05)	(120, 1.9646987834339547e-05)	(125, 2.6195983779119392e-05)	(130, 1.637248986194962e-06)	(135, 1.637248986194962e-06)	(140, 4.911746958584886e-05)	(145, 0.00011706330251293979)	(150, 0.0)
SRR11780539_1	(1, 0.04212476957540151)	(2, 0.00021089117471819962)	(3, 0.0)	(4, 0.06339210494134953)	(5, 0.00019603968354086162)	(6, 0.00039801996355265845)	(7, 1.7821789412805602e-05)	(8, 0.0003623763847270473)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 9.504954353496323e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 4.752477176748161e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 2.3762385883740807e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11780539_2	(1, 0.0002762377358984868)	(2, 0.0009089112600530857)	(3, 0.000885148874169345)	(4, 0.0)	(5, 0.0010455449788845954)	(6, 7.722775412215762e-05)	(7, 0.0005108912965004273)	(8, 0.0)	(9, 0.0)	(10, 3.5643578825611205e-05)	(15, 0.0003522773707264574)	(20, 6.534656118028721e-05)	(25, 7.188121729831594e-05)	(30, 0.0)	(35, 0.0)	(40, 1.1881192941870403e-06)	(45, 0.0)	(50, 0.0)	(55, 8.316835059309281e-06)	(60, 0.0)	(65, 2.0198028001179685e-05)	(70, 7.900993306343817e-05)	(75, 4.752477176748161e-06)	(80, 1.1881192941870403e-06)	(85, 1.1287133294776882e-05)	(90, 1.1881192941870403e-06)	(95, 0.0)	(100, 2.7920803413395443e-05)	(105, 0.0)	(110, 0.0)	(115, 1.9009908706992645e-05)	(120, 1.7821789412805602e-05)	(125, 2.5544564825021367e-05)	(130, 1.7821789412805604e-06)	(135, 0.0)	(140, 4.811883141457513e-05)	(145, 0.00010574261718264657)	(150, 0.0)
SRR11780540_1	(1, 0.04197161811121237)	(2, 0.000258512448377572)	(3, 0.0)	(4, 0.06296900235107425)	(5, 0.00016976936908377863)	(6, 0.0003896978699423101)	(7, 7.71678950380812e-06)	(8, 0.0003781226856865979)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 6.945110553427307e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 4.630073702284872e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 1.5433579007616237e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11780540_2	(1, 0.0002507956588737639)	(2, 0.0009568818984722069)	(3, 0.0007793957398846202)	(4, 0.0)	(5, 0.0009800322669836312)	(6, 0.00010031826354950555)	(7, 0.00044757379122087093)	(8, 0.0)	(9, 0.0)	(10, 3.163883696561329e-05)	(15, 0.00036423246457974325)	(20, 5.4017526526656837e-05)	(25, 6.173431603046496e-05)	(30, 0.0)	(35, 0.0)	(40, 7.716789503808119e-07)	(45, 0.0)	(50, 0.0)	(55, 8.488468454188932e-06)	(60, 0.0)	(65, 1.7748615858758674e-05)	(70, 6.867942658389227e-05)	(75, 5.4017526526656835e-06)	(80, 7.716789503808119e-07)	(85, 1.0803505305331367e-05)	(90, 1.5433579007616237e-06)	(95, 0.0)	(100, 2.8552121164090043e-05)	(105, 7.716789503808119e-07)	(110, 7.716789503808119e-07)	(115, 1.157518425571218e-05)	(120, 1.543357900761624e-05)	(125, 2.1607010610662734e-05)	(130, 7.716789503808119e-07)	(135, 7.716789503808119e-07)	(140, 4.321402122132547e-05)	(145, 0.00010494833725179042)	(150, 0.0)
