Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR11780536_1	(0.0, 6635.0)	(1.0, 5075.5)	(2.0, 3235.0)	(3.0, 2777.0)	(4.0, 2554.5)	(5.0, 2503.5)	(6.0, 2482.5)	(7.0, 2547.0)	(8.0, 2694.5)	(9.0, 2883.0)	(10.0, 3072.5)	(11.0, 3310.0)	(12.0, 3647.0)	(13.0, 4069.5)	(14.0, 4664.0)	(15.0, 5414.0)	(16.0, 6525.5)	(17.0, 8160.5)	(18.0, 10651.0)	(19.0, 14259.5)	(20.0, 19693.5)	(21.0, 27918.5)	(22.0, 39699.5)	(23.0, 56233.0)	(24.0, 77173.0)	(25.0, 103452.5)	(26.0, 137187.0)	(27.0, 175888.5)	(28.0, 217759.0)	(29.0, 262255.0)	(30.0, 308601.0)	(31.0, 356789.5)	(32.0, 406411.0)	(33.0, 456759.0)	(34.0, 505326.5)	(35.0, 555894.5)	(36.0, 612392.5)	(37.0, 664051.5)	(38.0, 708600.5)	(39.0, 755526.5)	(40.0, 801093.5)	(41.0, 844451.5)	(42.0, 895287.0)	(43.0, 956296.0)	(44.0, 985735.0)	(45.0, 1018744.5)	(46.0, 1069380.0)	(47.0, 1090979.5)	(48.0, 1115276.5)	(49.0, 1137543.0)	(50.0, 1152092.0)	(51.0, 1159429.5)	(52.0, 1148423.5)	(53.0, 1132867.5)	(54.0, 1122095.0)	(55.0, 1127247.5)	(56.0, 1130628.5)	(57.0, 1114245.0)	(58.0, 1099979.5)	(59.0, 1090257.5)	(60.0, 1061374.5)	(61.0, 1015591.5)	(62.0, 967875.5)	(63.0, 921436.5)	(64.0, 868276.5)	(65.0, 845989.0)	(66.0, 794399.0)	(67.0, 670791.0)	(68.0, 561987.5)	(69.0, 476486.0)	(70.0, 400384.5)	(71.0, 335467.0)	(72.0, 282517.5)	(73.0, 238567.0)	(74.0, 204452.0)	(75.0, 174162.5)	(76.0, 150205.5)	(77.0, 131709.5)	(78.0, 113301.5)	(79.0, 94166.0)	(80.0, 75866.5)	(81.0, 60879.0)	(82.0, 48920.0)	(83.0, 37752.0)	(84.0, 26846.0)	(85.0, 18621.5)	(86.0, 12167.0)	(87.0, 6775.5)	(88.0, 2842.0)	(89.0, 1339.5)	(90.0, 767.5)	(91.0, 484.0)	(92.0, 276.0)	(93.0, 153.0)	(94.0, 109.5)	(95.0, 80.5)	(96.0, 63.5)	(97.0, 73.0)	(98.0, 121.5)	(99.0, 112.5)	(100.0, 36.5)
SRR11780536_2	(0.0, 7403.0)	(1.0, 5710.0)	(2.0, 3878.0)	(3.0, 3745.0)	(4.0, 3842.5)	(5.0, 3978.0)	(6.0, 4171.5)	(7.0, 4361.0)	(8.0, 4497.0)	(9.0, 4614.5)	(10.0, 4750.5)	(11.0, 5091.0)	(12.0, 5432.5)	(13.0, 5783.5)	(14.0, 6357.0)	(15.0, 7131.5)	(16.0, 8228.0)	(17.0, 9895.5)	(18.0, 12409.5)	(19.0, 16022.0)	(20.0, 21308.0)	(21.0, 29376.5)	(22.0, 41023.5)	(23.0, 57412.5)	(24.0, 78714.0)	(25.0, 104320.0)	(26.0, 137268.5)	(27.0, 176138.5)	(28.0, 217899.5)	(29.0, 262218.5)	(30.0, 307891.5)	(31.0, 355810.0)	(32.0, 404728.0)	(33.0, 453932.0)	(34.0, 502606.0)	(35.0, 553241.0)	(36.0, 609223.0)	(37.0, 662147.0)	(38.0, 707725.0)	(39.0, 752900.0)	(40.0, 798769.5)	(41.0, 843319.0)	(42.0, 893503.5)	(43.0, 953751.0)	(44.0, 984087.5)	(45.0, 1016609.5)	(46.0, 1067294.5)	(47.0, 1090622.0)	(48.0, 1113681.5)	(49.0, 1135309.5)	(50.0, 1151181.5)	(51.0, 1159240.5)	(52.0, 1148229.5)	(53.0, 1131121.5)	(54.0, 1118650.0)	(55.0, 1125053.5)	(56.0, 1128495.5)	(57.0, 1111817.0)	(58.0, 1098887.0)	(59.0, 1089604.5)	(60.0, 1060417.5)	(61.0, 1014163.0)	(62.0, 967733.5)	(63.0, 921223.5)	(64.0, 861769.5)	(65.0, 793386.0)	(66.0, 719267.5)	(67.0, 637947.0)	(68.0, 557890.5)	(69.0, 478356.5)	(70.0, 403136.0)	(71.0, 337296.5)	(72.0, 284974.5)	(73.0, 241858.5)	(74.0, 206821.0)	(75.0, 176357.5)	(76.0, 152353.0)	(77.0, 134184.5)	(78.0, 115680.5)	(79.0, 96221.0)	(80.0, 77840.0)	(81.0, 63151.0)	(82.0, 51250.5)	(83.0, 40166.5)	(84.0, 29774.0)	(85.0, 21538.0)	(86.0, 15452.0)	(87.0, 10527.0)	(88.0, 6735.0)	(89.0, 5502.5)	(90.0, 5353.0)	(91.0, 5581.5)	(92.0, 6035.5)	(93.0, 6743.0)	(94.0, 7649.0)	(95.0, 8919.0)	(96.0, 10453.0)	(97.0, 12372.0)	(98.0, 14882.0)	(99.0, 18053.5)	(100.0, 24565.5)
SRR11780537_1	(0.0, 2242.0)	(1.0, 1618.5)	(2.0, 909.5)	(3.0, 735.0)	(4.0, 598.5)	(5.0, 554.0)	(6.0, 547.0)	(7.0, 538.0)	(8.0, 557.0)	(9.0, 565.0)	(10.0, 586.0)	(11.0, 671.0)	(12.0, 761.5)	(13.0, 819.0)	(14.0, 923.0)	(15.0, 1117.0)	(16.0, 1364.5)	(17.0, 1782.5)	(18.0, 2509.5)	(19.0, 3582.0)	(20.0, 5246.5)	(21.0, 7801.0)	(22.0, 11643.5)	(23.0, 17374.5)	(24.0, 24766.5)	(25.0, 33973.5)	(26.0, 45786.5)	(27.0, 59825.0)	(28.0, 75621.5)	(29.0, 93276.0)	(30.0, 112531.5)	(31.0, 133793.5)	(32.0, 155943.0)	(33.0, 179897.0)	(34.0, 204152.5)	(35.0, 228914.5)	(36.0, 258121.5)	(37.0, 288697.0)	(38.0, 318178.0)	(39.0, 347068.5)	(40.0, 373404.5)	(41.0, 397833.5)	(42.0, 425958.0)	(43.0, 456023.5)	(44.0, 468830.0)	(45.0, 483300.5)	(46.0, 502714.5)	(47.0, 504633.5)	(48.0, 508213.5)	(49.0, 511470.0)	(50.0, 513198.5)	(51.0, 510699.5)	(52.0, 498691.5)	(53.0, 487625.5)	(54.0, 479445.0)	(55.0, 476535.0)	(56.0, 470992.5)	(57.0, 457888.5)	(58.0, 446277.0)	(59.0, 439087.0)	(60.0, 425887.0)	(61.0, 406578.0)	(62.0, 386614.5)	(63.0, 365957.0)	(64.0, 340935.0)	(65.0, 315816.5)	(66.0, 289274.5)	(67.0, 255661.0)	(68.0, 221119.5)	(69.0, 188669.5)	(70.0, 159524.5)	(71.0, 134314.5)	(72.0, 114071.5)	(73.0, 96749.5)	(74.0, 83762.0)	(75.0, 72773.5)	(76.0, 63566.5)	(77.0, 56395.0)	(78.0, 48790.0)	(79.0, 40754.0)	(80.0, 32887.0)	(81.0, 25882.0)	(82.0, 20366.5)	(83.0, 15585.5)	(84.0, 10741.5)	(85.0, 6995.5)	(86.0, 4306.5)	(87.0, 2254.0)	(88.0, 928.0)	(89.0, 438.5)	(90.0, 249.5)	(91.0, 152.5)	(92.0, 101.0)	(93.0, 68.5)	(94.0, 48.0)	(95.0, 37.0)	(96.0, 29.0)	(97.0, 27.0)	(98.0, 79.5)	(99.0, 97.5)	(100.0, 32.5)
SRR11780537_2	(0.0, 2352.0)	(1.0, 1731.0)	(2.0, 1073.5)	(3.0, 1062.0)	(4.0, 1126.5)	(5.0, 1172.5)	(6.0, 1225.0)	(7.0, 1251.5)	(8.0, 1258.5)	(9.0, 1288.0)	(10.0, 1313.0)	(11.0, 1321.0)	(12.0, 1372.0)	(13.0, 1469.0)	(14.0, 1541.0)	(15.0, 1678.5)	(16.0, 1917.5)	(17.0, 2315.5)	(18.0, 2969.5)	(19.0, 3970.5)	(20.0, 5690.0)	(21.0, 8267.5)	(22.0, 12080.0)	(23.0, 17694.5)	(24.0, 24895.5)	(25.0, 34127.5)	(26.0, 45711.5)	(27.0, 59434.5)	(28.0, 75205.5)	(29.0, 92482.5)	(30.0, 111110.0)	(31.0, 131657.0)	(32.0, 153793.5)	(33.0, 177532.5)	(34.0, 200933.0)	(35.0, 225673.5)	(36.0, 254537.0)	(37.0, 285458.5)	(38.0, 315035.5)	(39.0, 343207.0)	(40.0, 368997.5)	(41.0, 392625.0)	(42.0, 420208.5)	(43.0, 449641.5)	(44.0, 463048.5)	(45.0, 477648.5)	(46.0, 497572.0)	(47.0, 502153.5)	(48.0, 505571.0)	(49.0, 509168.5)	(50.0, 510691.5)	(51.0, 508312.0)	(52.0, 497598.0)	(53.0, 486373.0)	(54.0, 479189.5)	(55.0, 476656.5)	(56.0, 471520.5)	(57.0, 458466.0)	(58.0, 447654.5)	(59.0, 441301.5)	(60.0, 429003.0)	(61.0, 409832.5)	(62.0, 389819.5)	(63.0, 368648.5)	(64.0, 341709.5)	(65.0, 313387.0)	(66.0, 283252.0)	(67.0, 250848.5)	(68.0, 220520.0)	(69.0, 190289.5)	(70.0, 161460.0)	(71.0, 137501.5)	(72.0, 118079.0)	(73.0, 100400.0)	(74.0, 86904.0)	(75.0, 75289.0)	(76.0, 65589.0)	(77.0, 58503.0)	(78.0, 50907.5)	(79.0, 42519.5)	(80.0, 34735.0)	(81.0, 27555.0)	(82.0, 21637.0)	(83.0, 16679.5)	(84.0, 11711.5)	(85.0, 7835.0)	(86.0, 5099.5)	(87.0, 3020.0)	(88.0, 1687.0)	(89.0, 1261.5)	(90.0, 1166.0)	(91.0, 1190.0)	(92.0, 1296.0)	(93.0, 1446.0)	(94.0, 1619.0)	(95.0, 1883.5)	(96.0, 2131.5)	(97.0, 2449.0)	(98.0, 2988.5)	(99.0, 3603.0)	(100.0, 5577.5)
SRR11780538_1	(0.0, 511.0)	(1.0, 386.5)	(2.0, 226.0)	(3.0, 192.0)	(4.0, 187.0)	(5.0, 198.0)	(6.0, 241.0)	(7.0, 254.5)	(8.0, 262.0)	(9.0, 321.5)	(10.0, 385.5)	(11.0, 471.0)	(12.0, 581.0)	(13.0, 673.0)	(14.0, 841.0)	(15.0, 1079.5)	(16.0, 1390.5)	(17.0, 1890.5)	(18.0, 2676.5)	(19.0, 3973.5)	(20.0, 5999.5)	(21.0, 9205.5)	(22.0, 13860.5)	(23.0, 20538.0)	(24.0, 29658.5)	(25.0, 41267.0)	(26.0, 56070.0)	(27.0, 73682.0)	(28.0, 93645.0)	(29.0, 116374.0)	(30.0, 141459.5)	(31.0, 168984.0)	(32.0, 198590.5)	(33.0, 230273.5)	(34.0, 263174.5)	(35.0, 297802.0)	(36.0, 336872.5)	(37.0, 377654.5)	(38.0, 417816.5)	(39.0, 459667.0)	(40.0, 499511.5)	(41.0, 534348.0)	(42.0, 573263.5)	(43.0, 615227.5)	(44.0, 638153.5)	(45.0, 664298.5)	(46.0, 697689.5)	(47.0, 709921.5)	(48.0, 719818.0)	(49.0, 729815.5)	(50.0, 738207.5)	(51.0, 743006.0)	(52.0, 735754.0)	(53.0, 728357.5)	(54.0, 725174.0)	(55.0, 730049.0)	(56.0, 733014.5)	(57.0, 723468.5)	(58.0, 715423.5)	(59.0, 712471.0)	(60.0, 700498.5)	(61.0, 678464.5)	(62.0, 653947.0)	(63.0, 626789.0)	(64.0, 589258.0)	(65.0, 551651.0)	(66.0, 507010.5)	(67.0, 449579.5)	(68.0, 394610.0)	(69.0, 341879.0)	(70.0, 294371.5)	(71.0, 252754.5)	(72.0, 218018.5)	(73.0, 187255.5)	(74.0, 162785.5)	(75.0, 142451.5)	(76.0, 125829.0)	(77.0, 111756.5)	(78.0, 96988.0)	(79.0, 80991.0)	(80.0, 64911.5)	(81.0, 50933.5)	(82.0, 39207.0)	(83.0, 28871.5)	(84.0, 19332.0)	(85.0, 12102.5)	(86.0, 6659.5)	(87.0, 3209.5)	(88.0, 1305.0)	(89.0, 602.5)	(90.0, 349.0)	(91.0, 236.5)	(92.0, 162.0)	(93.0, 106.0)	(94.0, 63.0)	(95.0, 39.5)	(96.0, 33.5)	(97.0, 38.5)	(98.0, 54.0)	(99.0, 48.5)	(100.0, 17.5)
SRR11780538_2	(0.0, 1099.0)	(1.0, 919.5)	(2.0, 740.0)	(3.0, 813.5)	(4.0, 934.0)	(5.0, 1051.5)	(6.0, 1160.0)	(7.0, 1219.5)	(8.0, 1241.0)	(9.0, 1297.5)	(10.0, 1350.0)	(11.0, 1385.0)	(12.0, 1444.5)	(13.0, 1482.0)	(14.0, 1603.0)	(15.0, 1857.0)	(16.0, 2117.0)	(17.0, 2513.0)	(18.0, 3299.0)	(19.0, 4608.5)	(20.0, 6626.0)	(21.0, 9722.5)	(22.0, 14375.5)	(23.0, 21051.0)	(24.0, 30093.0)	(25.0, 41799.5)	(26.0, 56562.0)	(27.0, 73652.5)	(28.0, 93486.5)	(29.0, 116474.5)	(30.0, 141314.0)	(31.0, 168638.0)	(32.0, 198148.5)	(33.0, 230265.0)	(34.0, 262345.5)	(35.0, 295320.0)	(36.0, 334466.5)	(37.0, 376671.0)	(38.0, 417179.0)	(39.0, 457780.0)	(40.0, 497585.5)	(41.0, 532194.5)	(42.0, 570556.5)	(43.0, 613031.0)	(44.0, 635790.5)	(45.0, 662085.5)	(46.0, 695769.5)	(47.0, 708652.5)	(48.0, 720317.5)	(49.0, 729388.5)	(50.0, 736159.5)	(51.0, 741724.5)	(52.0, 735436.5)	(53.0, 727393.0)	(54.0, 724402.5)	(55.0, 728607.0)	(56.0, 730439.5)	(57.0, 721277.5)	(58.0, 714085.5)	(59.0, 713307.0)	(60.0, 701588.0)	(61.0, 678012.5)	(62.0, 654078.5)	(63.0, 627204.0)	(64.0, 586886.5)	(65.0, 542368.0)	(66.0, 495011.0)	(67.0, 442870.0)	(68.0, 393492.5)	(69.0, 343020.0)	(70.0, 295126.0)	(71.0, 253955.0)	(72.0, 219470.0)	(73.0, 188675.0)	(74.0, 164627.0)	(75.0, 143666.0)	(76.0, 126294.0)	(77.0, 112821.0)	(78.0, 98180.5)	(79.0, 81848.0)	(80.0, 65485.0)	(81.0, 51576.0)	(82.0, 40107.0)	(83.0, 29708.5)	(84.0, 19998.5)	(85.0, 12662.5)	(86.0, 7447.5)	(87.0, 4053.5)	(88.0, 2039.0)	(89.0, 1444.5)	(90.0, 1289.5)	(91.0, 1321.5)	(92.0, 1398.5)	(93.0, 1456.5)	(94.0, 1624.5)	(95.0, 1870.0)	(96.0, 2195.5)	(97.0, 2562.5)	(98.0, 3076.5)	(99.0, 3754.0)	(100.0, 6620.0)
SRR11780539_1	(0.0, 816.0)	(1.0, 651.5)	(2.0, 442.5)	(3.0, 421.5)	(4.0, 451.5)	(5.0, 470.0)	(6.0, 484.0)	(7.0, 497.0)	(8.0, 556.5)	(9.0, 624.0)	(10.0, 672.0)	(11.0, 752.0)	(12.0, 828.5)	(13.0, 948.0)	(14.0, 1151.5)	(15.0, 1462.5)	(16.0, 1883.0)	(17.0, 2552.0)	(18.0, 3836.5)	(19.0, 5908.0)	(20.0, 9001.0)	(21.0, 13947.5)	(22.0, 21455.0)	(23.0, 32143.5)	(24.0, 46106.5)	(25.0, 64228.0)	(26.0, 87023.5)	(27.0, 114059.5)	(28.0, 145401.5)	(29.0, 179502.5)	(30.0, 216244.0)	(31.0, 256870.5)	(32.0, 299112.5)	(33.0, 344675.5)	(34.0, 391435.0)	(35.0, 439410.5)	(36.0, 497500.0)	(37.0, 557879.5)	(38.0, 611564.5)	(39.0, 665981.0)	(40.0, 717540.0)	(41.0, 765864.5)	(42.0, 821387.0)	(43.0, 876715.5)	(44.0, 906035.5)	(45.0, 935890.5)	(46.0, 973420.0)	(47.0, 988391.5)	(48.0, 1001260.5)	(49.0, 1016073.0)	(50.0, 1029657.5)	(51.0, 1043595.5)	(52.0, 1045635.0)	(53.0, 1036698.0)	(54.0, 1029835.0)	(55.0, 1035371.0)	(56.0, 1034121.5)	(57.0, 1010931.5)	(58.0, 988735.0)	(59.0, 980042.5)	(60.0, 959684.0)	(61.0, 919566.5)	(62.0, 874725.0)	(63.0, 825452.5)	(64.0, 766938.5)	(65.0, 705321.0)	(66.0, 638753.0)	(67.0, 562339.5)	(68.0, 491638.0)	(69.0, 426130.5)	(70.0, 362875.5)	(71.0, 307557.0)	(72.0, 260801.0)	(73.0, 220429.5)	(74.0, 191112.0)	(75.0, 167353.0)	(76.0, 142844.5)	(77.0, 122621.5)	(78.0, 105740.5)	(79.0, 88988.0)	(80.0, 71856.5)	(81.0, 56820.5)	(82.0, 45366.0)	(83.0, 34841.5)	(84.0, 24558.5)	(85.0, 16486.5)	(86.0, 9999.0)	(87.0, 5164.0)	(88.0, 2213.0)	(89.0, 996.5)	(90.0, 536.0)	(91.0, 329.5)	(92.0, 207.0)	(93.0, 136.0)	(94.0, 95.0)	(95.0, 61.5)	(96.0, 54.5)	(97.0, 62.5)	(98.0, 115.0)	(99.0, 109.5)	(100.0, 29.5)
SRR11780539_2	(0.0, 1458.0)	(1.0, 1135.0)	(2.0, 816.0)	(3.0, 848.5)	(4.0, 922.0)	(5.0, 983.0)	(6.0, 1035.5)	(7.0, 1062.5)	(8.0, 1070.5)	(9.0, 1082.0)	(10.0, 1182.0)	(11.0, 1275.5)	(12.0, 1336.5)	(13.0, 1479.0)	(14.0, 1698.0)	(15.0, 2018.0)	(16.0, 2438.0)	(17.0, 3167.0)	(18.0, 4445.0)	(19.0, 6583.0)	(20.0, 9814.5)	(21.0, 14852.0)	(22.0, 22196.0)	(23.0, 33120.0)	(24.0, 47551.0)	(25.0, 65268.0)	(26.0, 87399.0)	(27.0, 114443.0)	(28.0, 145400.5)	(29.0, 179579.5)	(30.0, 216547.0)	(31.0, 256224.0)	(32.0, 298495.0)	(33.0, 345711.5)	(34.0, 393143.5)	(35.0, 439585.5)	(36.0, 496545.0)	(37.0, 557762.0)	(38.0, 612004.0)	(39.0, 665245.0)	(40.0, 716925.5)	(41.0, 767672.0)	(42.0, 821487.0)	(43.0, 874906.5)	(44.0, 905700.5)	(45.0, 935994.5)	(46.0, 973677.0)	(47.0, 987986.0)	(48.0, 999971.0)	(49.0, 1014476.5)	(50.0, 1029815.5)	(51.0, 1044119.0)	(52.0, 1045699.0)	(53.0, 1036635.5)	(54.0, 1028890.0)	(55.0, 1033480.5)	(56.0, 1032525.5)	(57.0, 1011758.5)	(58.0, 989958.5)	(59.0, 978433.0)	(60.0, 956708.0)	(61.0, 917731.5)	(62.0, 874508.5)	(63.0, 825124.0)	(64.0, 764330.0)	(65.0, 697595.0)	(66.0, 628325.0)	(67.0, 556672.0)	(68.0, 489643.5)	(69.0, 425739.0)	(70.0, 363606.5)	(71.0, 308467.5)	(72.0, 260921.5)	(73.0, 220323.5)	(74.0, 190906.0)	(75.0, 166707.5)	(76.0, 142219.0)	(77.0, 122367.5)	(78.0, 106192.0)	(79.0, 89217.0)	(80.0, 71901.0)	(81.0, 56815.0)	(82.0, 45123.0)	(83.0, 34816.5)	(84.0, 24896.0)	(85.0, 16669.5)	(86.0, 10160.0)	(87.0, 5411.5)	(88.0, 2582.0)	(89.0, 1511.0)	(90.0, 1151.0)	(91.0, 1048.0)	(92.0, 1049.0)	(93.0, 1108.0)	(94.0, 1193.0)	(95.0, 1359.5)	(96.0, 1595.5)	(97.0, 1912.5)	(98.0, 2364.5)	(99.0, 2941.5)	(100.0, 4534.0)
SRR11780540_1	(0.0, 958.0)	(1.0, 704.5)	(2.0, 425.5)	(3.0, 387.5)	(4.0, 380.5)	(5.0, 402.5)	(6.0, 427.0)	(7.0, 456.0)	(8.0, 471.5)	(9.0, 498.0)	(10.0, 579.0)	(11.0, 668.5)	(12.0, 765.5)	(13.0, 904.5)	(14.0, 1117.5)	(15.0, 1400.5)	(16.0, 1818.5)	(17.0, 2462.0)	(18.0, 3593.5)	(19.0, 5353.0)	(20.0, 8141.5)	(21.0, 12439.5)	(22.0, 18601.0)	(23.0, 27731.5)	(24.0, 39901.5)	(25.0, 55344.5)	(26.0, 74717.0)	(27.0, 97666.5)	(28.0, 124233.0)	(29.0, 153328.0)	(30.0, 183838.0)	(31.0, 216604.5)	(32.0, 251094.5)	(33.0, 287354.0)	(34.0, 324451.0)	(35.0, 361829.5)	(36.0, 405199.0)	(37.0, 451112.5)	(38.0, 490375.5)	(39.0, 529517.5)	(40.0, 568283.5)	(41.0, 603377.0)	(42.0, 640758.0)	(43.0, 677690.5)	(44.0, 696672.0)	(45.0, 717061.0)	(46.0, 741742.0)	(47.0, 750693.5)	(48.0, 761044.5)	(49.0, 769820.5)	(50.0, 776646.0)	(51.0, 783250.5)	(52.0, 780689.0)	(53.0, 771906.0)	(54.0, 767055.0)	(55.0, 770658.0)	(56.0, 769121.0)	(57.0, 753458.0)	(58.0, 738406.0)	(59.0, 730112.0)	(60.0, 712279.0)	(61.0, 682715.0)	(62.0, 651303.0)	(63.0, 616277.5)	(64.0, 575727.5)	(65.0, 541392.5)	(66.0, 495065.0)	(67.0, 429956.0)	(68.0, 373147.0)	(69.0, 324390.5)	(70.0, 278496.5)	(71.0, 237303.0)	(72.0, 202504.5)	(73.0, 173245.0)	(74.0, 150827.5)	(75.0, 131945.0)	(76.0, 114474.0)	(77.0, 100280.5)	(78.0, 88128.0)	(79.0, 75585.0)	(80.0, 62335.0)	(81.0, 50493.5)	(82.0, 41209.5)	(83.0, 33088.0)	(84.0, 25127.5)	(85.0, 18229.0)	(86.0, 12170.5)	(87.0, 7083.5)	(88.0, 3518.0)	(89.0, 1679.5)	(90.0, 822.5)	(91.0, 477.0)	(92.0, 267.0)	(93.0, 151.0)	(94.0, 105.0)	(95.0, 76.5)	(96.0, 54.0)	(97.0, 59.0)	(98.0, 122.0)	(99.0, 133.0)	(100.0, 47.5)
SRR11780540_2	(0.0, 1912.0)	(1.0, 1488.0)	(2.0, 1061.5)	(3.0, 1200.5)	(4.0, 1422.5)	(5.0, 1473.5)	(6.0, 1500.0)	(7.0, 1561.5)	(8.0, 1539.5)	(9.0, 1534.0)	(10.0, 1576.5)	(11.0, 1645.5)	(12.0, 1751.5)	(13.0, 1883.5)	(14.0, 2073.5)	(15.0, 2338.5)	(16.0, 2773.0)	(17.0, 3413.0)	(18.0, 4401.5)	(19.0, 6164.5)	(20.0, 8922.0)	(21.0, 13119.0)	(22.0, 19468.5)	(23.0, 28393.0)	(24.0, 40430.5)	(25.0, 55994.0)	(26.0, 75242.0)	(27.0, 98081.0)	(28.0, 124495.0)	(29.0, 153816.0)	(30.0, 184147.0)	(31.0, 216077.5)	(32.0, 250769.0)	(33.0, 287224.5)	(34.0, 323647.0)	(35.0, 361179.5)	(36.0, 403609.0)	(37.0, 448341.0)	(38.0, 489625.5)	(39.0, 529398.0)	(40.0, 567930.0)	(41.0, 602778.5)	(42.0, 638917.5)	(43.0, 676303.0)	(44.0, 695643.0)	(45.0, 715650.0)	(46.0, 740740.0)	(47.0, 749431.5)	(48.0, 758444.5)	(49.0, 768711.5)	(50.0, 777654.5)	(51.0, 782666.0)	(52.0, 778876.0)	(53.0, 770468.5)	(54.0, 765007.0)	(55.0, 768644.5)	(56.0, 767540.5)	(57.0, 752299.0)	(58.0, 737308.0)	(59.0, 729673.5)	(60.0, 711808.5)	(61.0, 682180.5)	(62.0, 650159.5)	(63.0, 614909.5)	(64.0, 572700.5)	(65.0, 524688.5)	(66.0, 475108.5)	(67.0, 422912.5)	(68.0, 372948.5)	(69.0, 325476.0)	(70.0, 279777.5)	(71.0, 238453.0)	(72.0, 202937.5)	(73.0, 173592.5)	(74.0, 151797.5)	(75.0, 133020.0)	(76.0, 115302.0)	(77.0, 101290.0)	(78.0, 89127.0)	(79.0, 76352.0)	(80.0, 63122.0)	(81.0, 51183.5)	(82.0, 41970.5)	(83.0, 33960.0)	(84.0, 25897.5)	(85.0, 18903.0)	(86.0, 12957.0)	(87.0, 7969.0)	(88.0, 4501.5)	(89.0, 2858.0)	(90.0, 2106.0)	(91.0, 1963.0)	(92.0, 1973.0)	(93.0, 2148.5)	(94.0, 2393.5)	(95.0, 2652.5)	(96.0, 3115.5)	(97.0, 3624.0)	(98.0, 4262.0)	(99.0, 5113.0)	(100.0, 7319.5)
