Sample	Unique Reads	Duplicate Reads
SRR11780536_1	19874338.0	18462598.0
SRR11780536_2	20296220.0	18040716.0
SRR11780537_1	10272078.0	5953737.0
SRR11780537_2	10425332.0	5800483.0
SRR11780538_1	14173863.0	10257363.0
SRR11780538_2	14439506.0	9991720.0
SRR11780539_1	18770934.0	14895719.0
SRR11780539_2	19042473.0	14624180.0
SRR11780540_1	15752497.0	10165017.0
SRR11780540_2	16033337.0	9884177.0
SRR11780541_1	12551016.0	7662826.0
SRR11780541_2	12867580.0	7346262.0
SRR11780542_1	14217041.0	10263294.0
SRR11780542_2	14604618.0	9875717.0
SRR11780543_1	19578921.0	18167036.0
SRR11780543_2	19954562.0	17791395.0
SRR11780544_1	11264992.0	8968353.0
SRR11780544_2	11538017.0	8695328.0
SRR11780545_1	16834660.0	16089673.0
SRR11780545_2	17320470.0	15603863.0
SRR11780546_1	17625303.0	16718622.0
SRR11780546_2	18093517.0	16250408.0
SRR11780547_1	16572156.0	12979803.0
SRR11780547_2	16860258.0	12691701.0
SRR11780548_1	15288939.0	14003608.0
SRR11780548_2	15620149.0	13672398.0
SRR11780549_1	19480475.0	13015652.0
SRR11780549_2	19795771.0	12700356.0
SRR11780550_1	15758638.0	9583874.0
SRR11780550_2	16045811.0	9296701.0
SRR11780551_1	17418901.0	13119704.0
SRR11780551_2	17850859.0	12687746.0
SRR11780552_1	14430915.0	13236132.0
SRR11780552_2	14679600.0	12987447.0
SRR11780553_1	15310270.0	14495163.0
SRR11780553_2	15919503.0	13885930.0
SRR11780554_1	15003091.0	14847389.0
SRR11780554_2	15497724.0	14352756.0
SRR11780556_1	16751295.0	14515448.0
SRR11780556_2	17115583.0	14151160.0
SRR11780558_1	15408364.0	14479694.0
SRR11780558_2	15641184.0	14246874.0
