Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11780536_1	(1.0, 38.44697513390691)	(2.0, 14.980308477297932)	(3.0, 7.485707213858609)	(4.0, 4.32742624083854)	(5.0, 3.0688178954525447)	(6.0, 2.226502907693997)	(7.0, 1.7590539376941612)	(8.0, 1.4396468849511077)	(9.0, 1.2303277933140386)	('>10', 12.340150275542564)	('>50', 3.656411303118053)	('>100', 6.238084130458448)	('>500', 1.465614373200871)	('>1k', 0.7853436185330107)	('>5k', 0.0)	('>10k+', 0.5496298141393426)
SRR11780536_2	(1.0, 39.723449783733926)	(2.0, 14.85570572072621)	(3.0, 7.239034871478686)	(4.0, 4.355342445965983)	(5.0, 2.976073566913967)	(6.0, 2.2320266683265593)	(7.0, 1.7768875945007139)	(8.0, 1.4627792252470606)	(9.0, 1.1389919196425262)	('>10', 12.119976430266325)	('>50', 3.5792516036691353)	('>100', 6.168425383205746)	('>500', 1.3970464109191414)	('>1k', 0.8029123514513477)	('>5k', 0.018366434264913727)	('>10k+', 0.1537295896878789)
SRR11780537_1	(1.0, 50.73513695162097)	(2.0, 15.416173421446524)	(3.0, 6.723926173644871)	(4.0, 3.6706683775331)	(5.0, 2.4006290593732236)	(6.0, 1.6774671380207644)	(7.0, 1.2609058795872097)	(8.0, 1.0184400022132176)	(9.0, 0.8640714986583713)	('>10', 8.733245525571597)	('>50', 2.5532278383473743)	('>100', 4.100087685891244)	('>500', 0.48371935754789075)	('>1k', 0.24393824103404516)	('>5k', 0.04921268468093348)	('>10k+', 0.06915016482871003)
SRR11780537_2	(1.0, 51.87950441392789)	(2.0, 15.188215242247981)	(3.0, 6.61121788625618)	(4.0, 3.6595433497632444)	(5.0, 2.3139899782233138)	(6.0, 1.6532718532725352)	(7.0, 1.2669821369776726)	(8.0, 0.977590423627194)	(9.0, 0.8197144817084642)	('>10', 8.476597274519902)	('>50', 2.516668690297035)	('>100', 3.879620192067531)	('>500', 0.4969394022418862)	('>1k', 0.1980998371803363)	('>5k', 0.062044837688874935)	('>10k+', 0.0)
SRR11780538_1	(1.0, 43.66455440074879)	(2.0, 16.92339947985932)	(3.0, 7.951594949468853)	(4.0, 4.621238113114708)	(5.0, 2.961465512529966)	(6.0, 2.2103675993770273)	(7.0, 1.619471858568918)	(8.0, 1.2773597415840818)	(9.0, 1.0469088218054825)	('>10', 9.807471329897586)	('>50', 2.6827383751085545)	('>100', 4.338304826230123)	('>500', 0.5808927003067333)	('>1k', 0.183088273952585)	('>5k', 0.04008877093480877)	('>10k+', 0.09105524651250059)
SRR11780538_2	(1.0, 45.00596224142393)	(2.0, 16.64750247902341)	(3.0, 7.974183443734761)	(4.0, 4.4537864222835735)	(5.0, 2.8088693963393627)	(6.0, 2.0666844128935096)	(7.0, 1.5548173793935864)	(8.0, 1.2591258112037023)	(9.0, 0.9808086803871296)	('>10', 9.627993298430871)	('>50', 2.642310768878778)	('>100', 4.18445809529086)	('>500', 0.5660621875511325)	('>1k', 0.17564443661342952)	('>5k', 0.0)	('>10k+', 0.051790946551971424)
SRR11780539_1	(1.0, 40.96752855043361)	(2.0, 16.64431188779135)	(3.0, 8.568148581911714)	(4.0, 5.057924366662492)	(5.0, 3.384866977767896)	(6.0, 2.3997274779493907)	(7.0, 1.9497741977775847)	(8.0, 1.4805642087471427)	(9.0, 1.2148606272135962)	('>10', 10.62426729607948)	('>50', 2.6426282323424344)	('>100', 3.981729375992935)	('>500', 0.7022234232511921)	('>1k', 0.30293447030742193)	('>5k', 0.02642931686501721)	('>10k+', 0.052081008906786755)
SRR11780539_2	(1.0, 42.038372955979256)	(2.0, 16.390622024290188)	(3.0, 8.269304734904145)	(4.0, 4.971751848124383)	(5.0, 3.4407208416433765)	(6.0, 2.397553305203122)	(7.0, 1.8535973356598203)	(8.0, 1.3836785074096867)	(9.0, 1.1737702954795945)	('>10', 10.596352747920596)	('>50', 2.566089740664628)	('>100', 3.9287393238308344)	('>500', 0.688721139874365)	('>1k', 0.2770673061837539)	('>5k', 0.02365789283224768)	('>10k+', 0.0)
SRR11780540_1	(1.0, 46.18170543584734)	(2.0, 17.556698678289486)	(3.0, 8.049781841026785)	(4.0, 4.709853086586862)	(5.0, 2.828714533851658)	(6.0, 2.0768623694965074)	(7.0, 1.572637035552497)	(8.0, 1.2265868601948866)	(9.0, 1.0129630919252297)	('>10', 8.871435730618225)	('>50', 2.1802179976440925)	('>100', 3.0062139771733563)	('>500', 0.383855247783758)	('>1k', 0.13888964153445632)	('>5k', 0.0)	('>10k+', 0.20358447247490566)
SRR11780540_2	(1.0, 47.57069430645452)	(2.0, 17.345102631244973)	(3.0, 7.757793846195141)	(4.0, 4.441357301827467)	(5.0, 2.865487188245407)	(6.0, 2.0224220293551065)	(7.0, 1.4508178523183914)	(8.0, 1.1941030646930666)	(9.0, 0.9750346701237286)	('>10', 8.656973001457947)	('>50', 2.112569335816721)	('>100', 3.0151278239449932)	('>500', 0.4147283019360074)	('>1k', 0.12788662728954286)	('>5k', 0.0)	('>10k+', 0.049902019097059894)
