Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR11780536_1	48.15877454654923	51.0	150.0	150	20.0	38.336936
SRR11780536_2	47.05831519555878	52.0	150.0	150	20.0	38.336936
SRR11780537_1	36.692992943221846	51.0	150.0	150	20.0	16.225815
SRR11780537_2	35.74848876498649	51.0	150.0	150	20.0	16.225815
SRR11780538_1	41.98464496889838	52.0	150.0	150	10.0	24.431226
SRR11780538_2	40.897333661903765	53.0	150.0	150	20.0	24.431226
SRR11780539_1	44.24472829205966	51.0	150.0	150	20.0	33.666653
SRR11780539_2	43.438176676610674	52.0	150.0	150	20.0	33.666653
SRR11780540_1	39.22065137093309	51.0	150.0	150	20.0	25.917513999999997
SRR11780540_2	38.137059356949145	52.0	150.0	150	20.0	25.917513999999997
SRR11780541_1	37.90881003602485	50.0	150.0	150	20.0	20.213842
SRR11780541_2	36.34273146199929	51.0	150.0	150	20.0	20.213842
SRR11780542_1	41.92464757606289	52.0	150.0	150	20.0	24.480335
SRR11780542_2	40.34143203367956	53.0	150.0	150	20.0	24.480335
SRR11780543_1	48.12975396018406	52.0	150.0	150	20.0	37.745957
SRR11780543_2	47.13457207470783	53.0	150.0	150	20.0	37.745957
SRR11780544_1	44.324620172791015	52.0	150.0	150	10.0	20.233345
SRR11780544_2	42.97524057345523	52.0	150.0	150	20.0	20.233345
SRR11780545_1	48.86863875795442	52.0	150.0	150	10.0	32.924333
SRR11780545_2	47.39310367524644	52.0	150.0	150	20.0	32.924333
SRR11780546_1	48.6799988378245	52.0	150.0	150	10.0	34.343925
SRR11780546_2	47.31669053222108	53.0	150.0	150	20.0	34.343925
SRR11780547_1	43.92197403399616	52.0	150.0	150	20.0	29.551959
SRR11780547_2	42.94707439119265	53.0	150.0	150	20.0	29.551959
SRR11780548_1	47.80604580579156	51.0	150.0	150	20.0	29.292547
SRR11780548_2	46.675349268496724	51.0	150.0	150	20.0	29.292547
SRR11780549_1	40.05293532943871	50.0	150.0	150	20.0	32.496127
SRR11780549_2	39.08267772716897	51.0	150.0	150	20.0	32.496127
SRR11780550_1	37.81738299800238	51.0	150.0	150	20.0	25.342512
SRR11780550_2	36.684213064866626	51.0	150.0	150	20.0	25.342512
SRR11780551_1	42.96104633388372	51.0	150.0	150	20.0	30.538604999999997
SRR11780551_2	41.54658095882877	52.0	150.0	150	20.0	30.538604999999997
SRR11780552_1	47.84078386380649	51.0	150.0	150	20.0	27.667047
SRR11780552_2	46.94193586515109	52.0	150.0	150	20.0	27.667047
SRR11780553_1	48.63262215102622	52.0	150.0	150	20.0	29.805432999999997
SRR11780553_2	46.58858890178229	53.0	150.0	150	20.0	29.805432999999997
SRR11780554_1	49.739199919480015	52.0	150.0	150	20.0	29.850479999999997
SRR11780554_2	48.08216205702227	53.0	150.0	150	20.0	29.850479999999997
SRR11780556_1	46.42456211786536	51.0	150.0	150	20.0	31.266742999999998
SRR11780556_2	45.25946528305729	52.0	150.0	150	20.0	31.266742999999998
SRR11780558_1	48.44642038321264	52.0	150.0	150	20.0	29.888057999999997
SRR11780558_2	47.6674488442755	53.0	150.0	150	20.0	29.888057999999997
