.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR11780536_1	1	1	1	0.25	1	1	1	0.5	0.5	0.25
SRR11780536_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780537_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780537_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780538_1	1	1	1	0.5	1	1	1	0.5	1	0.25
SRR11780538_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780539_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780539_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780540_1	1	1	1	0.25	1	1	1	0.5	0.5	0.25
SRR11780540_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780541_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780541_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780542_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780542_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780543_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780543_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780544_1	1	1	1	0.5	1	1	1	0.5	0.5	0.25
SRR11780544_2	1	1	1	0.25	1	1	1	0.5	0.5	0.25
SRR11780545_1	1	1	1	0.5	1	1	1	0.5	1	0.25
SRR11780545_2	1	1	1	0.25	1	1	1	0.5	0.5	0.25
SRR11780546_1	1	1	1	0.5	1	1	1	0.5	0.5	0.25
SRR11780546_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780547_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780547_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780548_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780548_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780549_1	1	1	1	0.25	1	1	1	0.5	0.5	0.25
SRR11780549_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780550_1	1	1	1	0.25	1	1	1	0.5	0.5	0.25
SRR11780550_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780551_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780551_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780552_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780552_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780553_1	1	1	1	0.25	1	1	1	0.5	0.5	0.25
SRR11780553_2	1	1	1	0.25	1	1	1	0.5	0.5	0.25
SRR11780554_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780554_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780556_1	1	1	1	0.25	1	1	1	0.5	0.5	0.25
SRR11780556_2	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780558_1	1	1	1	0.25	1	1	1	0.5	1	0.25
SRR11780558_2	1	1	1	0.25	1	1	1	0.5	1	0.25
