Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR11780536_1 - illumina_universal_adapter	(1, 0.0018259153522336789)	(2, 0.001893735065316644)	(3, 0.0021180618085910674)	(4, 0.0023971660124325013)	(5, 0.0025249800870888587)	(6, 0.0026319265577196883)	(7, 0.0027779997858983826)	(8, 0.003017977232191952)	(9, 0.003166658910873837)	(10, 0.0036140081721710883)	(12, 0.004160478552589596)	(14, 0.005283416494213309)	(16, 0.008232269788070701)	(18, 0.011693683605805118)	(20, 0.013563942616593043)	(22, 0.0149046861752332)	(24, 0.016070663550159563)	(26, 0.01706187474137213)	(28, 0.018349145064696877)	(30, 0.021223657519213325)	(32, 0.02399513617885373)	(34, 0.027376992256240823)	(36, 0.030899704660800227)	(38, 0.0342867776391937)	(40, 0.038108157626368475)	(42, 0.042586867140347366)	(44, 0.04751031746512033)	(46, 0.0535540972810138)	(48, 0.061487699486469136)	(50, 0.07174543109026763)	(52, 0.08390602733614391)	(54, 0.09757300374761302)	(56, 0.11391364192485284)	(58, 0.13523120366218105)	(60, 0.16242690860845008)	(62, 0.19580724969778493)	(64, 0.23514529173640794)	(66, 0.28294253875687925)	(68, 0.34404157911837296)	(70, 0.42137170273597246)	(72, 0.5220109400500864)	(74, 0.6501993273536518)	(76, 0.8052704055431034)	(78, 0.9976266752251666)	(80, 1.2358734146098687)	(82, 1.5378132983814878)	(84, 1.91765846910666)	(86, 2.372366169273413)	(88, 2.905607792964988)	(90, 3.53775794706181)	(92, 4.283607850142223)	(94, 5.164472455493053)	(96, 6.17262814117435)	(98, 7.2948331082066655)	(100, 8.522540768516293)	(102, 9.87083448713794)	(104, 11.363046853822642)	(106, 12.986419937159297)	(108, 14.683996916185478)	(110, 16.431159235052068)	(112, 18.232712963811192)	(114, 20.110021312083994)	(116, 22.067895566823598)	(118, 24.037762172751627)	(120, 25.98983914624789)	(122, 27.94584314197671)	(124, 29.914721145164027)	(126, 31.90144094979317)	(128, 33.88055581698026)	(130, 35.811238279449356)	(132, 37.686239453252085)	(134, 39.533472367223084)	(136, 41.373521608508305)	(138, 43.189839167115494)
SRR11780536_1 - polya	(1, 0.05791803497285229)	(2, 0.08364779073632801)	(3, 0.09044541274764369)	(4, 0.10572049889433)	(5, 0.11294590678816899)	(6, 0.12073734844120042)	(7, 0.12797579858755537)	(8, 0.1514205517102358)	(9, 0.1798970058535716)	(10, 0.2079743670699192)	(12, 0.225366210799945)	(14, 0.25851570401974744)	(16, 0.3158546629808914)	(18, 0.34521277339430567)	(20, 0.3788330919299341)	(22, 0.41811766073324175)	(24, 0.4503581089526821)	(26, 0.4964011730097575)	(28, 0.5316035167755713)	(30, 0.5646382381732333)	(32, 0.5903419094316771)	(34, 0.6174919664941403)	(36, 0.6406537027372244)	(38, 0.6671607767506511)	(40, 0.7098376354333586)	(42, 0.7375524220297627)	(44, 0.7679708675727241)	(46, 0.8001969693143969)	(48, 0.8245964153212453)	(50, 0.8492227965218713)	(52, 0.8808593884498229)	(54, 0.9275832580882312)	(56, 0.9589068359558)	(58, 0.985509118412593)	(60, 1.0136060430077145)	(62, 1.038971919925995)	(64, 1.0678761599518545)	(66, 1.098409377316956)	(68, 1.126601510355444)	(70, 1.1624337949177785)	(72, 1.1983534625719696)	(74, 1.2248031506743262)	(76, 1.2621339900507436)	(78, 1.2921872525232585)	(80, 1.3160937013850038)	(82, 1.3441123724650295)	(84, 1.386090166412882)	(86, 1.4283535856908336)	(88, 1.455731882172326)	(90, 1.4860094713881151)	(92, 1.516010564850566)	(94, 1.5592312854631887)	(96, 1.5887015592482405)	(98, 1.6121332701184048)	(100, 1.634105552932034)	(102, 1.6592914467655944)	(104, 1.686311081302898)	(106, 1.7111461385437794)	(108, 1.7447703697551624)	(110, 1.7730290182814819)	(112, 1.7969732896755235)	(114, 1.821813563817411)	(116, 1.8488671082112562)	(118, 1.8759363033081202)	(120, 1.898835890275634)	(122, 1.918348404264754)	(124, 1.9397363941656685)	(126, 1.9627781416856056)	(128, 1.9823741260908279)	(130, 2.003573003330261)	(132, 2.025967855125407)	(134, 2.048936566031255)	(136, 2.068811654640319)	(138, 2.0859204814907484)
SRR11780536_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005008224966126662)	(4, 0.000607768967243496)	(5, 0.0006755886803264612)	(6, 0.0007381914924030445)	(7, 0.0007929689529700548)	(8, 0.000852963314543447)	(9, 0.0009625182356774678)	(10, 0.0010694647063082974)	(12, 0.0012064083577258233)	(14, 0.0014750787595544934)	(16, 0.0016967970523257257)	(18, 0.001769833666415073)	(20, 0.0018872139390586665)	(22, 0.002011115337960238)	(24, 0.0021102364570814948)	(26, 0.002219791378215515)	(28, 0.0024023829134388833)	(30, 0.0025758448719010825)	(32, 0.0027884335879111467)	(34, 0.0030375406109658843)	(36, 0.0032644758047434986)	(38, 0.0035305377560689776)	(40, 0.003835726464942321)	(42, 0.0041865630576215064)	(44, 0.004646954571434712)	(46, 0.0050786531297128176)	(48, 0.005467312254688272)	(50, 0.0058664051816764914)	(52, 0.00625636853190354)	(54, 0.006690675540684837)	(56, 0.007113244522201774)	(58, 0.00755668110774424)	(60, 0.008094021911401579)	(62, 0.00862484158880094)	(64, 0.009313472521643357)	(66, 0.013222235600675026)	(68, 0.028557316108934735)	(70, 0.44467690375673213)	(72, 0.49392053658122287)	(74, 0.5009020543530135)	(76, 0.5041078400214352)	(78, 0.506461966600565)	(80, 0.5086269805182135)	(82, 0.5106654845864573)	(84, 0.5129100562444531)	(86, 0.5167027432760928)	(88, 0.5215596781130344)	(90, 0.5252845454315911)	(92, 0.5282686128072416)	(94, 0.5313452801757553)	(96, 0.5344310771210302)	(98, 0.5380346514911886)	(100, 0.5429711440684775)	(102, 0.5479350253760499)	(104, 0.5532940869348557)	(106, 0.5592843935154338)	(108, 0.5649486437831129)	(110, 0.5708398292445698)	(112, 0.5774731188741844)	(114, 0.5845524535398448)	(116, 0.593072957108518)	(118, 0.6033463394153357)	(120, 0.615780822964047)	(122, 0.6302955457890531)	(124, 0.6466492262188089)	(126, 0.6650701036723435)	(128, 0.6883766089183548)	(130, 0.7181051193032224)	(132, 0.753120958858058)	(134, 0.7945014176406795)	(136, 0.843709836383377)	(138, 0.9042663190402072)
SRR11780536_2 - illumina_universal_adapter	(1, 0.0018624336592783523)	(2, 0.0019328618228645084)	(3, 0.002165013917648505)	(4, 0.0024545519235027024)	(5, 0.002584974448662251)	(6, 0.002686704018286699)	(7, 0.002827560345459011)	(8, 0.0030597124402430074)	(9, 0.003213611019931275)	(10, 0.0036596560559769304)	(12, 0.00420873488689863)	(14, 0.005322543251761173)	(16, 0.008738309185689748)	(18, 0.011868449789518912)	(20, 0.013490906002503696)	(22, 0.014656883377430058)	(24, 0.015738086111002716)	(26, 0.016708429698189756)	(28, 0.01801526340028843)	(30, 0.02093933641436551)	(32, 0.023843846049668653)	(34, 0.027367862679479653)	(36, 0.03114750745860337)	(38, 0.03472890999948457)	(40, 0.0387341857471343)	(42, 0.043331579759008386)	(44, 0.048275897687806865)	(46, 0.05440575637030565)	(48, 0.06246195574941096)	(50, 0.07280185354405996)	(52, 0.08503418217877401)	(54, 0.09884071069216382)	(56, 0.11527003618651215)	(58, 0.13679366551359243)	(60, 0.1641537028415625)	(62, 0.1976331650500186)	(64, 0.23707945778452405)	(66, 0.28511146535028253)	(68, 0.34639700992275435)	(70, 0.4239801532391634)	(72, 0.5247054694198827)	(74, 0.6529368961567508)	(76, 0.8081579602501359)	(78, 1.0003381595232337)	(80, 1.2382431918920176)	(82, 1.539927447514324)	(84, 1.9191778915247686)	(86, 2.372950462186128)	(88, 2.9053560774914304)	(90, 3.536445896458705)	(92, 4.280661605298869)	(94, 5.158208261609639)	(96, 6.162626037719864)	(98, 7.280770951543962)	(100, 8.50355516152882)	(102, 9.846552421403736)	(104, 11.331505470338058)	(106, 12.946226323355628)	(108, 14.63290780462998)	(110, 16.3683268793312)	(112, 18.155230245839157)	(114, 20.01754913329537)	(116, 21.956416913443476)	(118, 23.908068709507717)	(120, 25.842849047717323)	(122, 27.78108558284366)	(124, 29.729135108762996)	(126, 31.69179717440121)	(128, 33.64924494748354)	(130, 35.55731475254048)	(132, 37.40943851120497)	(134, 39.23371184384688)	(136, 41.048280436391686)	(138, 42.838299597025696)
SRR11780536_2 - polya	(1, 0.06868311019952142)	(2, 0.09852378395602611)	(3, 0.107222966384168)	(4, 0.12344231161300945)	(5, 0.13255102077015232)	(6, 0.14096588209344638)	(7, 0.15077626443594763)	(8, 0.17534004282449697)	(9, 0.20550938134440375)	(10, 0.2372046634086772)	(12, 0.25827442234820225)	(14, 0.2959587067678022)	(16, 0.35596089369270406)	(18, 0.3891808150760927)	(20, 0.42686770794619583)	(22, 0.46907895821408363)	(24, 0.5066471665862916)	(26, 0.5563185852933057)	(28, 0.5941932865996384)	(30, 0.6297464669581314)	(32, 0.6588450365464783)	(34, 0.6897082229002338)	(36, 0.7156662180827388)	(38, 0.7450269369466564)	(40, 0.7903135503578064)	(42, 0.8193208241785416)	(44, 0.8522785962863595)	(46, 0.8872070527493381)	(48, 0.9143075492522408)	(50, 0.9413193584380348)	(52, 0.9771033866660601)	(54, 1.0304683712855924)	(56, 1.067454895195589)	(58, 1.09867413504303)	(60, 1.1293925523938584)	(62, 1.1560717841404957)	(64, 1.1864119761683614)	(66, 1.2181320385124152)	(68, 1.247644047505518)	(70, 1.2839497658341814)	(72, 1.320155058818472)	(74, 1.3471016567416865)	(76, 1.3853689298487495)	(78, 1.4170589950120167)	(80, 1.4421627226547264)	(82, 1.4718599316335557)	(84, 1.5160836014646555)	(86, 1.5611471923577827)	(88, 1.589901446479708)	(90, 1.621757148249928)	(92, 1.6527077176955403)	(94, 1.696847917110538)	(96, 1.727455475314981)	(98, 1.7518666593490935)	(100, 1.7753844490858635)	(102, 1.8023819117938897)	(104, 1.830544047651591)	(106, 1.8568450540752657)	(108, 1.8921478231854523)	(110, 1.920965984344706)	(112, 1.9465835767365447)	(114, 1.9729289268187733)	(116, 2.0008080457968784)	(118, 2.0291449478382937)	(120, 2.053747852984391)	(122, 2.0748554344562122)	(124, 2.098017170699296)	(126, 2.1226722448554574)	(128, 2.144198482633041)	(130, 2.1669950358056784)	(132, 2.191728363476935)	(134, 2.216712102396498)	(136, 2.2380974838469094)	(138, 2.256867893667872)
SRR11780536_2 - polyg	(1, 0.5019336965270256)	(2, 0.5035300682349784)	(3, 0.5036422316066156)	(4, 0.5037909132852975)	(5, 0.5039082935579411)	(6, 0.5040517583356166)	(7, 0.5042056569153048)	(8, 0.5046177920948091)	(9, 0.5056272624395439)	(10, 0.5067515046064193)	(12, 0.5093847353893906)	(14, 0.5110893577932258)	(16, 0.5114284563586406)	(18, 0.5116071352181093)	(20, 0.5118314619613836)	(22, 0.512040138001639)	(24, 0.5122253379873656)	(26, 0.5124118421983437)	(28, 0.5126179097880957)	(30, 0.5128083266748287)	(32, 0.5130626505988898)	(34, 0.5132882815674158)	(36, 0.513549126617735)	(38, 0.5139547406709811)	(40, 0.5145090364029092)	(42, 0.5151950588852484)	(44, 0.5158236954565174)	(46, 0.5163610362601747)	(48, 0.5168775094598066)	(50, 0.5173900699836836)	(52, 0.5181217403498287)	(54, 0.5195211740447907)	(56, 0.5211814527900718)	(58, 0.5226747907031486)	(60, 0.5238603314568488)	(62, 0.5251828158619667)	(64, 0.5276230213077018)	(66, 0.5304284098238836)	(68, 0.5334085645237794)	(70, 0.5368152008809468)	(72, 0.5404918118651945)	(74, 0.5446783749228159)	(76, 0.5489431914955332)	(78, 0.553667095356812)	(80, 0.559429162518361)	(82, 0.5657259620330639)	(84, 0.5721962235062291)	(86, 0.5790421018518538)	(88, 0.5865009660657283)	(90, 0.5944463062984481)	(92, 0.6032824323780075)	(94, 0.6143161780065053)	(96, 0.6270506333630835)	(98, 0.6429660941083033)	(100, 0.6615030476092298)	(102, 0.6827006206234113)	(104, 0.708382120052578)	(106, 0.7415290048218772)	(108, 0.7815778496226198)	(110, 0.8310014655318307)	(112, 0.8949450211670541)	(114, 0.9732611390748598)	(116, 1.0668432135525907)	(118, 1.1824001792944538)	(120, 1.3347167337525356)	(122, 1.5134321115281617)	(124, 1.7373701956776095)	(126, 1.9867158919533892)	(128, 2.2817746832975905)	(130, 2.6497853140897853)	(132, 3.079964449949782)	(134, 3.5746192653476534)	(136, 4.117553891109086)	(138, 4.732398280342487)
SRR11780537_1 - illumina_universal_adapter	(1, 0.0015222655996016226)	(2, 0.0016640150279046075)	(3, 0.002009144070729267)	(4, 0.0023912512252851396)	(5, 0.0025453266908318627)	(6, 0.0027856844170847505)	(7, 0.002921270826765867)	(8, 0.0030999983668000652)	(9, 0.0033095409999436085)	(10, 0.004021369650769468)	(12, 0.004936577916117003)	(14, 0.006252382391886016)	(16, 0.008316993630212103)	(18, 0.010717489383430047)	(20, 0.012547905914125114)	(22, 0.014165698302365706)	(24, 0.015506154852622196)	(26, 0.016741840086306914)	(28, 0.018140845313471154)	(30, 0.020359532017343966)	(32, 0.02270456060296509)	(34, 0.025296109933460972)	(36, 0.028303663020933)	(38, 0.031292727052539424)	(40, 0.034682387294567324)	(42, 0.03896876674607716)	(44, 0.043587949203167914)	(46, 0.0487463957896722)	(48, 0.05615742568246957)	(50, 0.0652817747521465)	(52, 0.07587292225382825)	(54, 0.08838076854691121)	(56, 0.10360650605223837)	(58, 0.12337130677257198)	(60, 0.14912656159336218)	(62, 0.17996938828650516)	(64, 0.21732652566296362)	(66, 0.26216556764637095)	(68, 0.31880062727203534)	(70, 0.3930834907214214)	(72, 0.491035427188095)	(74, 0.6149829762018117)	(76, 0.7668921407029478)	(78, 0.9513143099437533)	(80, 1.1860883413252277)	(82, 1.4871856976059448)	(84, 1.8686025940761681)	(86, 2.3252915184845877)	(88, 2.8498537669756496)	(90, 3.4723001587285447)	(92, 4.220687836019331)	(94, 5.11081877859448)	(96, 6.131282157475603)	(98, 7.2507667565542935)	(100, 8.478883803371357)	(102, 9.845080200902082)	(104, 11.37224231879878)	(106, 13.041372652159538)	(108, 14.76644162404169)	(110, 16.53417717384304)	(112, 18.38771426889805)	(114, 20.340922782615234)	(116, 22.385106695719138)	(118, 24.42461904070766)	(120, 26.430376532704212)	(122, 28.447279843878412)	(124, 30.50015977625777)	(126, 32.59508074016621)	(128, 34.66379654889447)	(130, 36.654433074702254)	(132, 38.61051663660655)	(134, 40.57016242327427)	(136, 42.542892298476225)	(138, 44.47407110212954)
SRR11780537_1 - polya	(1, 0.02390018621560766)	(2, 0.03390892845752278)	(3, 0.036941133619482286)	(4, 0.04368963901042875)	(5, 0.04712860340143161)	(6, 0.050777110425578004)	(7, 0.054715279324952244)	(8, 0.06553754002495406)	(9, 0.07894826854614083)	(10, 0.09354229664272642)	(12, 0.10191167593122441)	(14, 0.11652111157436468)	(16, 0.1398080774370964)	(18, 0.1520077727990859)	(20, 0.16555716923926472)	(22, 0.1819292282082595)	(24, 0.19568508577227092)	(26, 0.21482434010248483)	(28, 0.22983129044673567)	(30, 0.2436426151783439)	(32, 0.254683663039422)	(34, 0.26580791165189543)	(36, 0.2750000539264129)	(38, 0.28529537653424497)	(40, 0.30097101439896856)	(42, 0.31191037245278586)	(44, 0.3241193123427082)	(46, 0.3374437586031888)	(48, 0.3478500155462145)	(50, 0.35776631250880153)	(52, 0.3703912561557)	(54, 0.3876723603714205)	(56, 0.40075336739633727)	(58, 0.4113814930097502)	(60, 0.4227306918019218)	(62, 0.4338241253212859)	(64, 0.4458235225780647)	(66, 0.4581557228404244)	(68, 0.4701859351903125)	(70, 0.48436704103923284)	(72, 0.49781474767215084)	(74, 0.5083658355527905)	(76, 0.5224421700851389)	(78, 0.5350054835458189)	(80, 0.5448848023966747)	(82, 0.5557009000780546)	(84, 0.571342641340358)	(86, 0.5879057538866307)	(88, 0.5993535609767522)	(90, 0.6115933159597838)	(92, 0.6237806852845296)	(94, 0.6404608951846178)	(96, 0.6519795769888909)	(98, 0.6614952777410564)	(100, 0.6709524298163143)	(102, 0.6814634580759118)	(104, 0.6916601723857938)	(106, 0.7004332293940243)	(108, 0.7121337202476424)	(110, 0.7221393809802465)	(112, 0.7309186010070989)	(114, 0.7397686957481027)	(116, 0.7490563648112591)	(118, 0.7584765387747857)	(120, 0.7661741490335)	(122, 0.7727069487726811)	(124, 0.7799238435788896)	(126, 0.7873965036579056)	(128, 0.7941542535767849)	(130, 0.800871943874622)	(132, 0.8081751209415367)	(134, 0.8156508625298637)	(136, 0.8219525490707247)	(138, 0.8270986696199852)
SRR11780537_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0009552678863896821)	(4, 0.0012017886312644388)	(5, 0.0012572557988612591)	(6, 0.001343538059567424)	(7, 0.0013928422085423752)	(8, 0.0014421463575173266)	(9, 0.0015284286182234914)	(10, 0.0016116293696187218)	(12, 0.001741052760677969)	(14, 0.0020337961452167423)	(16, 0.0022741538714696305)	(18, 0.0024128217904616812)	(20, 0.0025915493304958796)	(22, 0.002804173472950357)	(24, 0.0029274338453877356)	(26, 0.0030722647830016547)	(28, 0.0032818074161451985)	(30, 0.00349751306791061)	(32, 0.0037409523034744327)	(34, 0.003975147011105452)	(36, 0.004233993793223946)	(38, 0.004532900196384589)	(40, 0.0048009915064358855)	(42, 0.005161528095815218)	(44, 0.0057069552438506164)	(46, 0.00608906239840649)	(48, 0.00654512577642479)	(50, 0.006948803496157204)	(52, 0.007352481215889618)	(54, 0.007749995917000163)	(56, 0.008249200425371545)	(58, 0.008773057008230403)	(60, 0.00934313623075328)	(62, 0.009928622999830826)	(64, 0.010634288632034816)	(66, 0.012017886312644388)	(68, 0.018880407548095425)	(70, 0.1946373726065532)	(72, 0.22628447322985007)	(74, 0.2308913296496971)	(76, 0.2332178691794526)	(78, 0.2350143891077274)	(80, 0.23695573997361613)	(82, 0.2390018621560766)	(84, 0.24110036999682297)	(86, 0.2440185593142779)	(88, 0.24742362710286048)	(90, 0.2505821741465683)	(92, 0.2534818744081576)	(94, 0.25635384108594855)	(96, 0.2593459866268659)	(98, 0.2625877344219689)	(100, 0.2665413108678979)	(102, 0.2704240125996753)	(104, 0.274479278852865)	(106, 0.27918782507997286)	(108, 0.28413672903333365)	(110, 0.28910412204256)	(112, 0.2949281746402261)	(114, 0.30157807173322265)	(116, 0.3088257816325405)	(118, 0.3177775661808051)	(120, 0.3286152344273616)	(122, 0.3411446512856211)	(124, 0.355538381276996)	(126, 0.37219085759328574)	(128, 0.39304651260969015)	(130, 0.41995425191276986)	(132, 0.4520481713861523)	(134, 0.49034516910244574)	(136, 0.5345555831864224)	(138, 0.589206150815845)
SRR11780537_2 - illumina_universal_adapter	(1, 0.0015715697485765739)	(2, 0.0017009931396358212)	(3, 0.002052285201082349)	(4, 0.0024282293370163533)	(5, 0.0025884678211849452)	(6, 0.0028226625288159638)	(7, 0.002970574975740818)	(8, 0.0031493025157750165)	(9, 0.003346519111674822)	(10, 0.004030614178702272)	(12, 0.004933496406806068)	(14, 0.006209241261532933)	(16, 0.008412520418851072)	(18, 0.010723652402051916)	(20, 0.012455460634797081)	(22, 0.014057845476482998)	(24, 0.015432198629159767)	(26, 0.01677881819803813)	(28, 0.018245616630042927)	(30, 0.020498199936336017)	(32, 0.022923347764041438)	(34, 0.02563507595766376)	(36, 0.028747400361707563)	(38, 0.031899784386793514)	(40, 0.03544968311299001)	(42, 0.039785366713474796)	(44, 0.04452472803369199)	(46, 0.0498557391416086)	(48, 0.057322236202002795)	(50, 0.06660066073722645)	(52, 0.07728425351823622)	(54, 0.08995233829548778)	(56, 0.10529517315463044)	(58, 0.1251431746263593)	(60, 0.15112646113615863)	(62, 0.18224662366728572)	(64, 0.21993348254001416)	(66, 0.26497590413794314)	(68, 0.3219160331853901)	(70, 0.3963036679513479)	(72, 0.4946161410074008)	(74, 0.6188964930266985)	(76, 0.7708950212978516)	(78, 0.9556068524138849)	(80, 1.1906921162357638)	(82, 1.4918603472306322)	(84, 1.8734282376570914)	(86, 2.3295902239733413)	(88, 2.8531910415593913)	(90, 3.4746513503327874)	(92, 4.222129982376848)	(94, 5.110452078986479)	(96, 6.127901741761508)	(98, 7.244653042081399)	(100, 8.4686100513287)	(102, 9.831546212008458)	(104, 11.353096901449941)	(106, 13.015540359605973)	(108, 14.731959534852333)	(110, 16.4912455861231)	(112, 18.333596802379418)	(114, 20.274827489405)	(116, 22.304133875555713)	(118, 24.328663922274472)	(120, 26.31940830090815)	(122, 28.32173915455094)	(124, 30.3581607457006)	(126, 32.43383460245294)	(128, 34.48502894923922)	(130, 36.458951368544504)	(132, 38.399174402025416)	(134, 40.33928341966181)	(136, 42.29100664589113)	(138, 44.19986607760535)
