Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR11780536_1	(1, 36.38929449134902)	(2, 36.3906820826787)	(3, 36.46498275188189)	(4, 36.47462775846249)	(5, 36.53045585072318)	(6, 36.49309553585607)	(7, 36.47063474243221)	(8, 36.52622997831647)	(9, 36.51396856545865)	(10, 36.52717468083521)	(15, 36.50029594436029)	(20, 36.473671046637634)	(25, 36.407768675097046)	(30, 36.352578609829436)	(35, 36.311341323678036)	(40, 36.26637582095763)	(45, 36.201284114098215)	(50, 36.205287642184025)	(55, 36.13243738623243)	(60, 36.102801611479855)	(65, 36.040735868928074)	(70, 36.012237357727294)	(75, 36.047240906263355)	(80, 36.004597039262606)	(85, 35.97903517380731)	(90, 35.93542158924751)	(95, 35.912505360365785)	(100, 35.89300501218981)	(105, 35.849360992229535)	(110, 35.81661821904599)	(115, 35.770220645697925)	(120, 35.72555708677397)	(125, 35.647801670952525)	(130, 35.60305840821499)	(135, 35.46994604889655)	(140, 35.31441840839862)	(145, 35.18966080127009)	(150, 35.01422607169232)
SRR11780536_2	(1, 36.22900698167428)	(2, 36.08039575724048)	(3, 36.2332339757147)	(4, 36.209073881126024)	(5, 36.26549265700316)	(6, 36.22316147018113)	(7, 36.181078555678)	(8, 36.244983114978204)	(9, 36.27794036539592)	(10, 36.27685208854459)	(15, 36.265950445283366)	(20, 36.22663234745729)	(25, 36.14299344632028)	(30, 36.08821003326922)	(35, 36.04711051503959)	(40, 36.014281109997945)	(45, 35.997990835783014)	(50, 35.9444693650009)	(55, 35.884644797904556)	(60, 35.8512866442952)	(65, 35.804538051762925)	(70, 35.78867374794898)	(75, 35.7794254240871)	(80, 35.72042253454997)	(85, 35.69200989353975)	(90, 35.64033023922413)	(95, 35.59205691346851)	(100, 35.51129179963677)	(105, 35.39780660614088)	(110, 35.250738081937484)	(115, 34.95491920898425)	(120, 34.670892973815114)	(125, 34.36479613289909)	(130, 33.90794387428353)	(135, 33.4122239085565)	(140, 32.820670587759025)	(145, 32.20900078712602)	(150, 31.79417259637025)
SRR11780537_1	(1, 36.29794614322917)	(2, 36.30667125195252)	(3, 36.39161059090098)	(4, 36.41198244895557)	(5, 36.466559676663394)	(6, 36.43084677102506)	(7, 36.39401398327295)	(8, 36.45620309365046)	(9, 36.44474431638719)	(10, 36.461758512592425)	(15, 36.43889815087871)	(20, 36.420038709919965)	(25, 36.362434022574526)	(30, 36.3180406407937)	(35, 36.279984222672326)	(40, 36.26096462951168)	(45, 36.20371758213686)	(50, 36.20083190890565)	(55, 36.14452733499056)	(60, 36.1302692653651)	(65, 36.09558059179154)	(70, 36.07675360528886)	(75, 36.086585542852546)	(80, 36.04559730281653)	(85, 36.02811037843092)	(90, 35.98000902882228)	(95, 35.960499993374754)	(100, 35.94067706306278)	(105, 35.900316883928475)	(110, 35.85974745798593)	(115, 35.80608319520468)	(120, 35.733206905169325)	(125, 35.61216763533912)	(130, 35.495219401922185)	(135, 35.27391568312593)	(140, 34.975237188393926)	(145, 34.71039820187768)	(150, 34.452527469344375)
SRR11780537_2	(1, 36.146076915088706)	(2, 35.99969869001958)	(3, 36.15981261958182)	(4, 36.145184509992255)	(5, 36.1938509714304)	(6, 36.15083587480814)	(7, 36.13502816345435)	(8, 36.21257909078835)	(9, 36.24243078082672)	(10, 36.251298427844766)	(15, 36.24548088339476)	(20, 36.221987111279155)	(25, 36.160666505811875)	(30, 36.12635473780516)	(35, 36.10512607224969)	(40, 36.07482336018252)	(45, 36.05911475016817)	(50, 36.013290044290535)	(55, 35.97305709451266)	(60, 35.95134591390324)	(65, 35.914217079388614)	(70, 35.88635022647552)	(75, 35.87431203917954)	(80, 35.81931984310187)	(85, 35.77994590718556)	(90, 35.74226282008022)	(95, 35.69684327104678)	(100, 35.620094645476975)	(105, 35.514609429480124)	(110, 35.36984113278747)	(115, 35.0927966453457)	(120, 34.8133914382729)	(125, 34.49916671674119)	(130, 34.04339309920642)	(135, 33.535978870706955)	(140, 32.922740361578136)	(145, 32.29093231988655)	(150, 31.85545853937075)
SRR11780538_1	(1, 36.37564373560296)	(2, 36.37545913577976)	(3, 36.44754127361435)	(4, 36.4642124386226)	(5, 36.520658193739436)	(6, 36.484578342486785)	(7, 36.46002005793733)	(8, 36.51413498446619)	(9, 36.50228735962739)	(10, 36.51713164128562)	(15, 36.495518824966055)	(20, 36.47926163836395)	(25, 36.42676404368736)	(30, 36.38737391238573)	(35, 36.36167128084362)	(40, 36.33689885231301)	(45, 36.299135311506674)	(50, 36.292282933324756)	(55, 36.246110923782545)	(60, 36.23565130951677)	(65, 36.204751624007734)	(70, 36.18526071511925)	(75, 36.18827207443458)	(80, 36.151078902057556)	(85, 36.13216779215256)	(90, 36.092687759509076)	(95, 36.07747948465623)	(100, 36.0644481615454)	(105, 36.03039596948594)	(110, 36.00491112480397)	(115, 35.96478690017439)	(120, 35.921575986403624)	(125, 35.84046259487756)	(130, 35.774971374748034)	(135, 35.60244325028961)	(140, 35.37756484263213)	(145, 35.15668774051699)	(150, 34.9123446363273)
SRR11780538_2	(1, 36.195169697992235)	(2, 36.04443833477698)	(3, 36.204617033954825)	(4, 36.185548527118534)	(5, 36.23267547031819)	(6, 36.197461723779234)	(7, 36.17517745527793)	(8, 36.26358890053246)	(9, 36.26690686746543)	(10, 36.2902466458294)	(15, 36.2887805875972)	(20, 36.269208929588714)	(25, 36.21637700866915)	(30, 36.18149582833051)	(35, 36.158955788792596)	(40, 36.131015357149906)	(45, 36.11992843912132)	(50, 36.0745393456718)	(55, 36.03955071268221)	(60, 36.023125765362735)	(65, 35.98418781767235)	(70, 35.957144975041366)	(75, 35.937265669762134)	(80, 35.877540611347136)	(85, 35.85103399231786)	(90, 35.807026867992626)	(95, 35.768246178067365)	(100, 35.69907350535745)	(105, 35.6035007330373)	(110, 35.471373692012016)	(115, 35.19459623516233)	(120, 34.923022201178114)	(125, 34.62903322166477)	(130, 34.17340981578248)	(135, 33.68343862890875)	(140, 33.06982259506748)	(145, 32.447412282952975)	(150, 31.99251138686204)
SRR11780539_1	(1, 36.39404692233588)	(2, 36.38707655316969)	(3, 36.47329127133606)	(4, 36.485043256304685)	(5, 36.53443848427701)	(6, 36.50443977903001)	(7, 36.47177933012824)	(8, 36.53033929449417)	(9, 36.51778277454548)	(10, 36.53692690508914)	(15, 36.517995364730794)	(20, 36.49584270227278)	(25, 36.440939175034714)	(30, 36.403645108410394)	(35, 36.38158018856225)	(40, 36.359143423018615)	(45, 36.33120188692354)	(50, 36.32142510275673)	(55, 36.28128184289659)	(60, 36.26833566734418)	(65, 36.23136517312844)	(70, 36.20857298169794)	(75, 36.20099853109841)	(80, 36.16009435211751)	(85, 36.137414366673156)	(90, 36.09452935520498)	(95, 36.07586038921065)	(100, 36.057888837360814)	(105, 36.02074412921296)	(110, 35.992346509764424)	(115, 35.95495486290247)	(120, 35.920683882653854)	(125, 35.85730760346151)	(130, 35.82717042291077)	(135, 35.7126384793879)	(140, 35.58028688506696)	(145, 35.48060634955307)	(150, 35.32212872482453)
SRR11780539_2	(1, 36.22384215027255)	(2, 36.04071230365549)	(3, 36.22376328885441)	(4, 36.208356589530894)	(5, 36.26098789802479)	(6, 36.22123734723496)	(7, 36.219483326720955)	(8, 36.314810355517075)	(9, 36.325710637169664)	(10, 36.3355725619651)	(15, 36.33390558901118)	(20, 36.3127982279676)	(25, 36.262420847121334)	(30, 36.225210180530866)	(35, 36.20474511083713)	(40, 36.17865871608918)	(45, 36.16432538749843)	(50, 36.11784933298834)	(55, 36.085750317977855)	(60, 36.069566030219875)	(65, 36.02928815644371)	(70, 35.99672333332333)	(75, 35.972867674134406)	(80, 35.90855931535576)	(85, 35.878293241683394)	(90, 35.8291945623463)	(95, 35.784964255282524)	(100, 35.71160812451419)	(105, 35.60796417154981)	(110, 35.46955630546345)	(115, 35.18348202299765)	(120, 34.909735250486584)	(125, 34.613421761884084)	(130, 34.16772953343476)	(135, 33.686939185787196)	(140, 33.10295031703923)	(145, 32.50063968639829)	(150, 32.081036894282306)
SRR11780540_1	(1, 36.378355115386455)	(2, 36.371298458640744)	(3, 36.45160025764817)	(4, 36.46446391424733)	(5, 36.51918119924619)	(6, 36.48673522468243)	(7, 36.45783742993252)	(8, 36.513792719471475)	(9, 36.50356442365575)	(10, 36.51931696844073)	(15, 36.49877899554718)	(20, 36.479389875124596)	(25, 36.42468980628312)	(30, 36.38695336288812)	(35, 36.36120293018844)	(40, 36.33574855983487)	(45, 36.29908894811438)	(50, 36.294606542896055)	(55, 36.24932669082382)	(60, 36.23296024456666)	(65, 36.1908752205169)	(70, 36.16586501313359)	(75, 36.17065571952618)	(80, 36.131859683764425)	(85, 36.11010261246507)	(90, 36.069536499526926)	(95, 36.05187867941346)	(100, 36.03713140079716)	(105, 36.00156686324159)	(110, 35.97617467477784)	(115, 35.939743711530355)	(120, 35.90629292608851)	(125, 35.8440777460369)	(130, 35.81899282469762)	(135, 35.7107999941661)	(140, 35.581214309366246)	(145, 35.48376585809889)	(150, 35.323778198788666)
SRR11780540_2	(1, 36.217880657843956)	(2, 36.058120620673726)	(3, 36.21777790879172)	(4, 36.19553866161701)	(5, 36.24678015028756)	(6, 36.20319016708161)	(7, 36.198987217678365)	(8, 36.28481149851024)	(9, 36.29776281783816)	(10, 36.30163492532501)	(15, 36.29461438315419)	(20, 36.271985237473004)	(25, 36.21557524382933)	(30, 36.179175379243546)	(35, 36.15445519967694)	(40, 36.12499579242052)	(45, 36.11203434094797)	(50, 36.06530712783641)	(55, 36.02497652359713)	(60, 36.00553054586948)	(65, 35.96277430775189)	(70, 35.9384617135733)	(75, 35.91828070392862)	(80, 35.857549817470925)	(85, 35.82805036007697)	(90, 35.781531700918535)	(95, 35.74156674131632)	(100, 35.67199188162877)	(105, 35.5734942402269)	(110, 35.44308977319353)	(115, 35.16816587424241)	(120, 34.905869505848436)	(125, 34.625623661281715)	(130, 34.19316580286211)	(135, 33.72808709199502)	(140, 33.16202709874103)	(145, 32.57472731373851)	(150, 32.165048545936926)
