Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR11780536_1	(13.0, 3.0)	(14.0, 27.0)	(15.0, 102.0)	(16.0, 332.0)	(17.0, 1128.0)	(18.0, 3601.0)	(19.0, 9187.0)	(20.0, 19044.0)	(21.0, 29232.0)	(22.0, 38507.0)	(23.0, 49628.0)	(24.0, 65612.0)	(25.0, 85869.0)	(26.0, 118043.0)	(27.0, 165799.0)	(28.0, 231080.0)	(29.0, 311939.0)	(30.0, 404792.0)	(31.0, 512782.0)	(32.0, 653987.0)	(33.0, 863404.0)	(34.0, 1340477.0)	(35.0, 2898329.0)	(36.0, 25215318.0)	(37.0, 5318714.0)		
SRR11780536_2	(11.0, 18.0)	(12.0, 790.0)	(13.0, 3116.0)	(14.0, 4363.0)	(15.0, 4646.0)	(16.0, 5130.0)	(17.0, 6513.0)	(18.0, 10463.0)	(19.0, 19542.0)	(20.0, 34019.0)	(21.0, 50733.0)	(22.0, 69487.0)	(23.0, 91773.0)	(24.0, 118773.0)	(25.0, 149121.0)	(26.0, 185105.0)	(27.0, 226980.0)	(28.0, 279507.0)	(29.0, 349026.0)	(30.0, 463260.0)	(31.0, 781941.0)	(32.0, 1369363.0)	(33.0, 1848155.0)	(34.0, 3388341.0)	(35.0, 6137438.0)	(36.0, 20953263.0)	(37.0, 1786070.0)
SRR11780537_1	(14.0, 15.0)	(15.0, 71.0)	(16.0, 171.0)	(17.0, 449.0)	(18.0, 1054.0)	(19.0, 2460.0)	(20.0, 4593.0)	(21.0, 7217.0)	(22.0, 10066.0)	(23.0, 14289.0)	(24.0, 20682.0)	(25.0, 30094.0)	(26.0, 44944.0)	(27.0, 67221.0)	(28.0, 97267.0)	(29.0, 134565.0)	(30.0, 176788.0)	(31.0, 227858.0)	(32.0, 297224.0)	(33.0, 440011.0)	(34.0, 702230.0)	(35.0, 1444834.0)	(36.0, 10476265.0)	(37.0, 2025447.0)			
SRR11780537_2	(11.0, 15.0)	(12.0, 461.0)	(13.0, 1664.0)	(14.0, 2202.0)	(15.0, 2046.0)	(16.0, 2071.0)	(17.0, 2159.0)	(18.0, 2960.0)	(19.0, 4699.0)	(20.0, 8179.0)	(21.0, 13337.0)	(22.0, 20490.0)	(23.0, 29641.0)	(24.0, 40769.0)	(25.0, 53552.0)	(26.0, 67234.0)	(27.0, 85067.0)	(28.0, 108220.0)	(29.0, 139032.0)	(30.0, 188340.0)	(31.0, 324935.0)	(32.0, 574958.0)	(33.0, 781432.0)	(34.0, 1440294.0)	(35.0, 2608882.0)	(36.0, 8957280.0)	(37.0, 765896.0)
SRR11780538_1	(13.0, 2.0)	(14.0, 14.0)	(15.0, 56.0)	(16.0, 187.0)	(17.0, 467.0)	(18.0, 1021.0)	(19.0, 2120.0)	(20.0, 3884.0)	(21.0, 6610.0)	(22.0, 10359.0)	(23.0, 15576.0)	(24.0, 23357.0)	(25.0, 36069.0)	(26.0, 55887.0)	(27.0, 85742.0)	(28.0, 124848.0)	(29.0, 173350.0)	(30.0, 228960.0)	(31.0, 293720.0)	(32.0, 381025.0)	(33.0, 532774.0)	(34.0, 896707.0)	(35.0, 1819875.0)	(36.0, 16239560.0)	(37.0, 3499056.0)		
SRR11780538_2	(11.0, 19.0)	(12.0, 725.0)	(13.0, 2529.0)	(14.0, 3264.0)	(15.0, 2981.0)	(16.0, 2690.0)	(17.0, 2909.0)	(18.0, 3908.0)	(19.0, 6132.0)	(20.0, 10225.0)	(21.0, 17046.0)	(22.0, 26362.0)	(23.0, 38429.0)	(24.0, 52397.0)	(25.0, 69317.0)	(26.0, 87483.0)	(27.0, 110634.0)	(28.0, 140736.0)	(29.0, 183751.0)	(30.0, 251426.0)	(31.0, 444659.0)	(32.0, 807145.0)	(33.0, 1130272.0)	(34.0, 2145203.0)	(35.0, 3986719.0)	(36.0, 13743646.0)	(37.0, 1160619.0)
SRR11780539_1	(13.0, 2.0)	(14.0, 22.0)	(15.0, 86.0)	(16.0, 269.0)	(17.0, 676.0)	(18.0, 1741.0)	(19.0, 3626.0)	(20.0, 6440.0)	(21.0, 9965.0)	(22.0, 14301.0)	(23.0, 20246.0)	(24.0, 29117.0)	(25.0, 44130.0)	(26.0, 67261.0)	(27.0, 104414.0)	(28.0, 156225.0)	(29.0, 222199.0)	(30.0, 299011.0)	(31.0, 389209.0)	(32.0, 504658.0)	(33.0, 675175.0)	(34.0, 1041299.0)	(35.0, 2418006.0)	(36.0, 23338998.0)	(37.0, 4319577.0)		
SRR11780539_2	(11.0, 6.0)	(12.0, 250.0)	(13.0, 969.0)	(14.0, 1345.0)	(15.0, 1407.0)	(16.0, 1512.0)	(17.0, 1934.0)	(18.0, 3357.0)	(19.0, 6160.0)	(20.0, 10908.0)	(21.0, 18372.0)	(22.0, 29486.0)	(23.0, 43853.0)	(24.0, 62292.0)	(25.0, 84105.0)	(26.0, 109820.0)	(27.0, 141311.0)	(28.0, 184011.0)	(29.0, 245328.0)	(30.0, 345727.0)	(31.0, 634946.0)	(32.0, 1139289.0)	(33.0, 1563278.0)	(34.0, 2955613.0)	(35.0, 5528308.0)	(36.0, 19009141.0)	(37.0, 1543925.0)
SRR11780540_1	(13.0, 1.0)	(14.0, 29.0)	(15.0, 107.0)	(16.0, 224.0)	(17.0, 620.0)	(18.0, 1263.0)	(19.0, 2681.0)	(20.0, 4894.0)	(21.0, 8069.0)	(22.0, 12190.0)	(23.0, 18007.0)	(24.0, 26930.0)	(25.0, 41280.0)	(26.0, 61759.0)	(27.0, 93355.0)	(28.0, 133233.0)	(29.0, 183700.0)	(30.0, 240787.0)	(31.0, 309811.0)	(32.0, 397826.0)	(33.0, 526791.0)	(34.0, 799520.0)	(35.0, 1813034.0)	(36.0, 17703545.0)	(37.0, 3537858.0)		
SRR11780540_2	(11.0, 12.0)	(12.0, 499.0)	(13.0, 1957.0)	(14.0, 2555.0)	(15.0, 2478.0)	(16.0, 2516.0)	(17.0, 2864.0)	(18.0, 3950.0)	(19.0, 6434.0)	(20.0, 11416.0)	(21.0, 18902.0)	(22.0, 28916.0)	(23.0, 42635.0)	(24.0, 59073.0)	(25.0, 78014.0)	(26.0, 98437.0)	(27.0, 123618.0)	(28.0, 155039.0)	(29.0, 200323.0)	(30.0, 272651.0)	(31.0, 473465.0)	(32.0, 851191.0)	(33.0, 1169398.0)	(34.0, 2205586.0)	(35.0, 4153622.0)	(36.0, 14720612.0)	(37.0, 1231351.0)
SRR11780541_1	(13.0, 4.0)	(14.0, 21.0)	(15.0, 86.0)	(16.0, 214.0)	(17.0, 520.0)	(18.0, 1148.0)	(19.0, 2286.0)	(20.0, 3870.0)	(21.0, 6099.0)	(22.0, 8944.0)	(23.0, 12922.0)	(24.0, 19018.0)	(25.0, 28898.0)	(26.0, 44497.0)	(27.0, 67992.0)	(28.0, 100158.0)	(29.0, 140191.0)	(30.0, 186450.0)	(31.0, 241809.0)	(32.0, 314055.0)	(33.0, 444863.0)	(34.0, 754275.0)	(35.0, 1532624.0)	(36.0, 13520682.0)	(37.0, 2782216.0)		
SRR11780541_2	(11.0, 5.0)	(12.0, 259.0)	(13.0, 968.0)	(14.0, 1338.0)	(15.0, 1368.0)	(16.0, 1426.0)	(17.0, 1826.0)	(18.0, 2750.0)	(19.0, 4568.0)	(20.0, 8397.0)	(21.0, 13927.0)	(22.0, 21874.0)	(23.0, 32781.0)	(24.0, 46849.0)	(25.0, 63495.0)	(26.0, 81600.0)	(27.0, 105154.0)	(28.0, 133175.0)	(29.0, 175759.0)	(30.0, 243625.0)	(31.0, 435872.0)	(32.0, 752693.0)	(33.0, 1048834.0)	(34.0, 1931284.0)	(35.0, 3672282.0)	(36.0, 10728658.0)	(37.0, 703075.0)
SRR11780542_1	(13.0, 1.0)	(14.0, 9.0)	(15.0, 60.0)	(16.0, 196.0)	(17.0, 451.0)	(18.0, 971.0)	(19.0, 1951.0)	(20.0, 3653.0)	(21.0, 6283.0)	(22.0, 9951.0)	(23.0, 15347.0)	(24.0, 23591.0)	(25.0, 36811.0)	(26.0, 57065.0)	(27.0, 87316.0)	(28.0, 126971.0)	(29.0, 177952.0)	(30.0, 233179.0)	(31.0, 304582.0)	(32.0, 453815.0)	(33.0, 740263.0)	(34.0, 1078185.0)	(35.0, 2054957.0)	(36.0, 15606672.0)	(37.0, 3460103.0)		
SRR11780542_2	(11.0, 16.0)	(12.0, 693.0)	(13.0, 2545.0)	(14.0, 3376.0)	(15.0, 3055.0)	(16.0, 2920.0)	(17.0, 2993.0)	(18.0, 3960.0)	(19.0, 6017.0)	(20.0, 10065.0)	(21.0, 17256.0)	(22.0, 27957.0)	(23.0, 41775.0)	(24.0, 59987.0)	(25.0, 79470.0)	(26.0, 102157.0)	(27.0, 129303.0)	(28.0, 164028.0)	(29.0, 214660.0)	(30.0, 296217.0)	(31.0, 529181.0)	(32.0, 920901.0)	(33.0, 1307598.0)	(34.0, 2409426.0)	(35.0, 4416223.0)	(36.0, 12848638.0)	(37.0, 879918.0)
SRR11780543_1	(14.0, 20.0)	(15.0, 86.0)	(16.0, 292.0)	(17.0, 787.0)	(18.0, 2278.0)	(19.0, 5577.0)	(20.0, 11137.0)	(21.0, 17192.0)	(22.0, 22782.0)	(23.0, 29812.0)	(24.0, 41129.0)	(25.0, 59154.0)	(26.0, 86872.0)	(27.0, 129386.0)	(28.0, 189721.0)	(29.0, 262933.0)	(30.0, 349712.0)	(31.0, 452194.0)	(32.0, 588958.0)	(33.0, 803922.0)	(34.0, 1356876.0)	(35.0, 3102907.0)	(36.0, 27057172.0)	(37.0, 3175058.0)			
SRR11780543_2	(11.0, 7.0)	(12.0, 487.0)	(13.0, 1919.0)	(14.0, 2511.0)	(15.0, 2563.0)	(16.0, 2591.0)	(17.0, 3105.0)	(18.0, 5188.0)	(19.0, 10211.0)	(20.0, 17803.0)	(21.0, 27587.0)	(22.0, 40733.0)	(23.0, 57359.0)	(24.0, 77942.0)	(25.0, 101699.0)	(26.0, 131049.0)	(27.0, 166567.0)	(28.0, 212925.0)	(29.0, 280220.0)	(30.0, 392277.0)	(31.0, 741407.0)	(32.0, 1403553.0)	(33.0, 1847952.0)	(34.0, 3428449.0)	(35.0, 6169494.0)	(36.0, 20932633.0)	(37.0, 1687726.0)
SRR11780544_1	(13.0, 2.0)	(14.0, 21.0)	(15.0, 76.0)	(16.0, 207.0)	(17.0, 406.0)	(18.0, 913.0)	(19.0, 1896.0)	(20.0, 3278.0)	(21.0, 5447.0)	(22.0, 8735.0)	(23.0, 13767.0)	(24.0, 20965.0)	(25.0, 32045.0)	(26.0, 48870.0)	(27.0, 72324.0)	(28.0, 104770.0)	(29.0, 143874.0)	(30.0, 189612.0)	(31.0, 242891.0)	(32.0, 311973.0)	(33.0, 424728.0)	(34.0, 720373.0)	(35.0, 1495155.0)	(36.0, 13477390.0)	(37.0, 2913627.0)		
SRR11780544_2	(11.0, 30.0)	(12.0, 1737.0)	(13.0, 6488.0)	(14.0, 8449.0)	(15.0, 7268.0)	(16.0, 6126.0)	(17.0, 5953.0)	(18.0, 6732.0)	(19.0, 9166.0)	(20.0, 13890.0)	(21.0, 22424.0)	(22.0, 32487.0)	(23.0, 43136.0)	(24.0, 54854.0)	(25.0, 67503.0)	(26.0, 82180.0)	(27.0, 100935.0)	(28.0, 124618.0)	(29.0, 159839.0)	(30.0, 218241.0)	(31.0, 407369.0)	(32.0, 768796.0)	(33.0, 1055782.0)	(34.0, 1991260.0)	(35.0, 3422247.0)	(36.0, 10732540.0)	(37.0, 883295.0)
SRR11780545_1	(13.0, 3.0)	(14.0, 32.0)	(15.0, 94.0)	(16.0, 323.0)	(17.0, 646.0)	(18.0, 1459.0)	(19.0, 2967.0)	(20.0, 5382.0)	(21.0, 9224.0)	(22.0, 14931.0)	(23.0, 24301.0)	(24.0, 37120.0)	(25.0, 56752.0)	(26.0, 86505.0)	(27.0, 130535.0)	(28.0, 186381.0)	(29.0, 256066.0)	(30.0, 335642.0)	(31.0, 441079.0)	(32.0, 764619.0)	(33.0, 1120191.0)	(34.0, 1637915.0)	(35.0, 3018011.0)	(36.0, 20549806.0)	(37.0, 4244349.0)		
SRR11780545_2	(11.0, 58.0)	(12.0, 2951.0)	(13.0, 9988.0)	(14.0, 12384.0)	(15.0, 10943.0)	(16.0, 9488.0)	(17.0, 9350.0)	(18.0, 10392.0)	(19.0, 14142.0)	(20.0, 22276.0)	(21.0, 35238.0)	(22.0, 52853.0)	(23.0, 72867.0)	(24.0, 95250.0)	(25.0, 120887.0)	(26.0, 149419.0)	(27.0, 185690.0)	(28.0, 233360.0)	(29.0, 300411.0)	(30.0, 416344.0)	(31.0, 774559.0)	(32.0, 1401916.0)	(33.0, 1945957.0)	(34.0, 3558160.0)	(35.0, 6021003.0)	(36.0, 16313831.0)	(37.0, 1144616.0)
SRR11780546_1	(13.0, 6.0)	(14.0, 61.0)	(15.0, 240.0)	(16.0, 639.0)	(17.0, 1184.0)	(18.0, 2026.0)	(19.0, 3489.0)	(20.0, 6016.0)	(21.0, 9696.0)	(22.0, 15385.0)	(23.0, 23721.0)	(24.0, 36910.0)	(25.0, 56736.0)	(26.0, 85954.0)	(27.0, 128842.0)	(28.0, 183563.0)	(29.0, 251099.0)	(30.0, 329022.0)	(31.0, 420580.0)	(32.0, 539566.0)	(33.0, 753223.0)	(34.0, 1305465.0)	(35.0, 2580299.0)	(36.0, 22381160.0)	(37.0, 5229043.0)		
SRR11780546_2	(11.0, 49.0)	(12.0, 1845.0)	(13.0, 6697.0)	(14.0, 8205.0)	(15.0, 7712.0)	(16.0, 6749.0)	(17.0, 6870.0)	(18.0, 8315.0)	(19.0, 11945.0)	(20.0, 19185.0)	(21.0, 30825.0)	(22.0, 46868.0)	(23.0, 65793.0)	(24.0, 88491.0)	(25.0, 113583.0)	(26.0, 141156.0)	(27.0, 175481.0)	(28.0, 221149.0)	(29.0, 285737.0)	(30.0, 395498.0)	(31.0, 733827.0)	(32.0, 1352187.0)	(33.0, 1839478.0)	(34.0, 3399040.0)	(35.0, 5920027.0)	(36.0, 18030269.0)	(37.0, 1426944.0)
SRR11780547_1	(13.0, 1.0)	(14.0, 17.0)	(15.0, 69.0)	(16.0, 191.0)	(17.0, 515.0)	(18.0, 1136.0)	(19.0, 2316.0)	(20.0, 4494.0)	(21.0, 7331.0)	(22.0, 11457.0)	(23.0, 17684.0)	(24.0, 27253.0)	(25.0, 42006.0)	(26.0, 64689.0)	(27.0, 98763.0)	(28.0, 144963.0)	(29.0, 201781.0)	(30.0, 267724.0)	(31.0, 343912.0)	(32.0, 441973.0)	(33.0, 586029.0)	(34.0, 891344.0)	(35.0, 1998489.0)	(36.0, 19920783.0)	(37.0, 4477039.0)		
SRR11780547_2	(11.0, 15.0)	(12.0, 656.0)	(13.0, 2384.0)	(14.0, 2993.0)	(15.0, 2765.0)	(16.0, 2627.0)	(17.0, 2753.0)	(18.0, 3579.0)	(19.0, 5991.0)	(20.0, 10316.0)	(21.0, 17488.0)	(22.0, 28398.0)	(23.0, 42985.0)	(24.0, 60561.0)	(25.0, 80020.0)	(26.0, 102675.0)	(27.0, 131218.0)	(28.0, 168253.0)	(29.0, 221400.0)	(30.0, 309235.0)	(31.0, 575970.0)	(32.0, 1067583.0)	(33.0, 1461945.0)	(34.0, 2721836.0)	(35.0, 4828139.0)	(36.0, 16331857.0)	(37.0, 1368317.0)
